arm,dataset,rows,n_pos,n_neg,pos_mismatch,neg_mismatch,auroc_stored,tv_stored,agree_published,none_published,auroc_published,tv_published,agree_reversed,none_reversed,auroc_reversed,tv_reversed,agree_coding_first,none_coding_first,auroc_coding_first,tv_coding_first,agree_majority,none_majority,auroc_majority,tv_majority
gc,HepG2:QKI,19976,9988,9988,0,522,0.5,0.0,19454,0,0.5196251671408975,0.037444933920704825,18061,0,0.5141485260887353,0.028133760512615104,19400,0,0.5197982222238975,0.037444933920704825,19420,0,0.52142419722249,0.04134961954345211
gc,HepG2:RBFOX2,14698,7349,7349,0,985,0.5,0.0,13713,0,0.5487253869121611,0.09239352292828952,11235,0,0.5506706984792807,0.1000136072935093,13569,0,0.5503190178026319,0.09239352292828953,13653,0,0.5518347988284137,0.0911688665124507
gc,HepG2:RBM15,2986,1493,1493,0,171,0.5,0.0,2815,0,0.5531197385073185,0.09444072337575349,1259,0,0.555021670676598,0.09912926992632282,2691,0,0.542121999112626,0.07032819825853985,2746,0,0.5723866994399854,0.11922304085733418
gc,HepG2:RBM22,3600,1800,1800,0,284,0.5,0.0,3316,0,0.565941049382716,0.1172222222222222,2619,0,0.5711398148148148,0.1416666666666667,3299,0,0.5667975308641976,0.1172222222222222,3292,0,0.5620149691358025,0.11166666666666668
gc,HepG2:RBM5,1272,636,636,0,98,0.5,0.0,1174,0,0.5695284996637792,0.11792452830188681,804,0,0.5591464439697797,0.11792452830188681,1162,0,0.5711972429888058,0.1179245283018868,1158,0,0.564025355009691,0.1242138364779874
gc,HepG2:RPS3,11294,5647,5647,0,689,0.5,0.0,10605,0,0.5648361300425491,0.11970958030812819,3534,0,0.6286083064959027,0.20347086948822385,9383,0,0.6258240207341751,0.2348149459890207,8967,0,0.6972822803277495,0.28121126261731894
gc,HepG2:SDAD1,1816,908,908,0,129,0.5,0.0,1687,0,0.5723645908129402,0.13656387665198236,668,0,0.6426763327446682,0.23348017621145373,1556,0,0.60504036561936,0.19823788546255514,1482,0,0.6736406926196898,0.23127753303964757
gc,HepG2:SF3A3,4704,2352,2352,0,419,0.5,0.0,4285,0,0.5947756866351983,0.15391156462585037,2508,0,0.5957588924175112,0.19090136054421766,4217,0,0.5950579583449026,0.15391156462585034,4193,0,0.5830507000844556,0.15858843537414968
gc,HepG2:SF3B4,11770,5885,5885,0,976,0.5,0.0,10794,0,0.5817084028414912,0.13423959218351741,7397,0,0.589692152550044,0.1789294817332201,10681,0,0.582175771964638,0.13423959218351744,10683,0,0.5783246290231417,0.1395072217502124
gc,HepG2:SFPQ,5070,2535,2535,0,222,0.5,0.0,4848,0,0.5328703087738135,0.060355029585798775,4651,0,0.5056544083034752,0.011045364891518741,4843,0,0.532958074141506,0.060355029585798775,4849,0,0.5347599873953993,0.06548323471400395
gc,HepG2:SLTM,2470,1235,1235,0,165,0.5,0.0,2305,0,0.5488947532331295,0.08502024291497975,1888,0,0.5554626366601648,0.10607287449392712,2291,0,0.5464770771525513,0.08502024291497977,2284,0,0.5581369961808913,0.10121457489878541
gc,HepG2:SND1,14180,7090,7090,0,1005,0.5,0.0,13175,0,0.5712410455139542,0.14047954866008458,4560,0,0.6386863438244135,0.18631875881523272,11359,0,0.6490542709989039,0.2976022566995769,11217,0,0.702560619955797,0.2699576868829337
gc,HepG2:SRSF1,3574,1787,1787,0,201,0.5,0.0,3373,0,0.5584764867448766,0.10296586457750422,1161,0,0.6448194680915359,0.2260772243984331,2951,0,0.6364079754015273,0.2417459429210968,2927,0,0.6645509804848735,0.2590934527140459
gc,HepG2:SRSF7,860,430,430,0,53,0.5,0.0,807,0,0.5419983775013522,0.07209302325581399,574,0,0.5543834505137912,0.06279069767441864,779,0,0.5476095186587344,0.08837209302325583,782,0,0.57,0.12325581395348839
gc,HepG2:SRSF9,1328,664,664,0,84,0.5,0.0,1244,0,0.5519578313253013,0.08283132530120482,699,0,0.563108987153433,0.08885542168674697,1141,0,0.5823266711424009,0.12951807228915663,1178,0,0.585841105385397,0.13855421686746988
gc,HepG2:STAU2,1684,842,842,0,67,0.5,0.0,1617,0,0.5365025586630634,0.06294536817102138,1331,0,0.5403342059681451,0.05581947743467932,1575,0,0.5432864010020255,0.07363420427553445,1623,0,0.5333493661173205,0.05700712589073633
gc,HepG2:SUB1,6592,3296,3296,0,139,0.5,0.0,6453,0,0.5201244226600057,0.03701456310679612,2254,0,0.650748608934631,0.27154126213592233,6080,0,0.5287766982927231,0.040048543689320364,5913,0,0.6094219456946932,0.15958737864077668
gc,HepG2:SUGP2,28822,14411,14411,0,748,0.5,0.0,28074,0,0.5214921233351684,0.042328776628964025,27363,0,0.5087795239414206,0.017486642148358912,28071,0,0.5214822474183349,0.04232877662896402,28128,0,0.5203011002845136,0.04003885920477413
gc,HepG2:TAF15,1536,768,768,0,83,0.5,0.0,1453,0,0.5449735853407118,0.08333333333333334,1359,0,0.5208680894639758,0.041666666666666644,1445,0,0.5454856024848092,0.08333333333333336,1464,0,0.537994384765625,0.07161458333333336
gc,HepG2:TARDBP,38874,19437,19437,0,1320,0.5,0.0,37554,0,0.5279542171234306,0.054175027010341124,35507,0,0.5123358228953924,0.021916962494212117,37401,0,0.5288175538539062,0.05417502701034113,37665,0,0.5255526110374907,0.04985337243401757
gc,HepG2:TIA1,3458,1729,1729,0,73,0.5,0.0,3385,0,0.5202203355075413,0.03412377096587625,1614,0,0.5486552502625074,0.0780798149219202,3292,0,0.531445343795044,0.03759398496240604,3340,0,0.5327021004930352,0.053209947946790036
