dataset,n,se_delong,ratio_clustering_10kb,ratio_clustering_100kb,ratio_clustering_1000kb,ratio_fitting
EFTUD2:HepG2,14248,0.0016598164837109605,1.0559847415507255,1.0286780628797274,1.041750659064053,1.9950689517329399
EIF3H:HepG2,5654,0.004970502756196823,1.104607729327418,1.0837723307637601,1.100524231338941,1.405869960296468
ELAC2:K562,26288,0.00040029415039918826,1.1984304397362135,1.4004478646760248,1.5759738055192787,1.064754774336692
ELAVL1:K562,17642,0.0005339573509386312,0.9996761934806059,1.0290422610641272,1.0365626067284313,0.836749028579897
EXOSC5:HepG2,1426,0.00021838712141482327,1.1229844089985386,1.1318273261180631,1.2014767963802593,1.1866925975857323
FASTKD2:HepG2,1646,0.0020548523483143715,1.0169536795182221,1.0163498004978473,0.9898525015102888,0.9313713588566283
FASTKD2:K562,1016,0.0008135045750898291,1.2524770907805933,1.2918226669876363,1.359370191525888,0.993579432887272
FKBP4:HepG2,2740,0.0012401483531687962,1.1275896851568998,1.0505379135059218,1.1027826024713254,1.08059373952366
FMR1:K562,8864,0.004767777551288186,1.1888792647413013,1.4765533333079304,1.4239349417556606,1.0921160677564299
FXR1:K562,2846,0.005821291841086052,1.247407599291237,1.4054521651301384,1.4124338249679982,1.1229620240012583
FXR2:K562,9424,0.004158250542511683,1.15443246587867,1.2041128753974486,1.1604536797175926,1.4232019731627923
G3BP1:HepG2,12956,0.0034500088638353067,1.184032237683321,1.2378021354052018,1.1497660749300502,1.0873367605556359
GARS:K562,1114,0.00375883878011039,1.2682867588003326,1.1959287139187502,1.168198045055144,1.0338172663871636
GEMIN5:K562,5020,0.002508974466107546,1.005398012596037,1.0848085433551216,1.2687531869639974,1.0492656469029917
GRSF1:HepG2,1990,0.0007581584691650051,1.5271786967437535,1.4660939573655876,1.451085965545238,0.8911199507272562
GRWD1:HepG2,44144,0.0019433650630099877,1.1182618280191565,1.2677086324360114,1.2000220959193746,1.1612110202549872
GRWD1:K562,8746,0.003165802241132994,1.0150813252682511,1.0632827053074443,0.9879522641336727,1.1648040041804215
GTF2F1:HepG2,8502,0.001347213150974807,1.6233501333676115,1.7823588478707897,1.7157306513563622,1.3290887289511732
HLTF:HepG2,7284,0.0036040341838944486,1.1118656911770843,1.0825142988732837,1.0733345474413245,1.03503066694952
HNRNPC:K562,1032,0.0023379028886237104,1.0450950894139124,1.066366272138954,1.1414297225071506,0.8305719946572256
HNRNPL:K562,11672,0.0015353882304509282,1.1018694961729356,1.2155807823899678,1.2314068208676907,1.3930346967238265
HNRNPM:HepG2,26790,0.0006864973955951326,0.959119090622684,1.0282441304662415,0.9433924786633613,0.9894338001895935
HNRNPUL1:HepG2,926,0.0038825675089839253,1.0849055892900044,1.2531601318766998,1.3902113373664398,1.0231962068601164
IGF2BP1:K562,11412,0.0033379813207723577,1.0847137250532566,1.1060427536865778,1.1991469826880619,0.9528360822458973
KHSRP:HepG2,10560,0.001965620591113574,0.9973779121399218,1.0597111796644787,1.079206803881796,1.1266764775287506
KHSRP:K562,46396,0.0007081084818807457,1.0461753224914405,1.0512109458615517,1.1339795352716342,0.9735243961580905
LARP4:HepG2,10842,0.0034661854035979854,1.2544336491213002,1.1638395109613442,1.1918218835587737,0.9569232747428505
LARP4:K562,860,0.0034562441118386722,1.0535660483818678,1.0548981432986,1.0338904899683463,1.018624604443521
LIN28B:K562,13832,0.002408516892867928,1.103902097205769,1.1291951617365485,1.129878041368255,1.3338310672078852
LSM11:K562,2638,0.005182434762993653,1.1906302847416288,1.2260121161224096,1.34475368389441,0.7913704340225965
MATR3:HepG2,13968,0.0008420934151031461,1.020201068408101,1.0085921731827123,1.071476626084021,0.8887588863700485
