dataset,protein,cell,region_auroc_dn,region_tv_dn,region_auroc_gc,region_tv_gc,region_auroc_neg2,region_tv_neg2,region_auroc_built,region_tv_built,retained_built,comp_built,full_built,gain_built,region_auroc_matched,region_tv_matched,retained,comp_matched,full_matched,gain_matched
LARP4:HepG2,LARP4,HepG2,0.5,0.0,0.5,0.0,0.808861641690011,0.5008301051466519,0.5,0.0,1.0,0.6845401376740334,0.6980699889452024,0.013529851271169013,0.5004283512678449,0.0005488329967081144,0.6340158642316915,0.6815053436630227,0.6879901552843173,0.006484811621294551
LARP4:K562,LARP4,K562,0.5,0.0,0.5,0.0,0.6990102758247702,0.3395348837209302,0.5,0.0,1.0,0.6608707409410493,0.6677447268793942,0.006873985938344984,0.5096933525416754,0.013294916649516375,0.6313953488372093,0.6498868079851822,0.6495163613912329,-0.0003704465939492474
LIN28B:K562,LIN28B,K562,0.5,0.0,0.5,0.0,0.748639889949325,0.4483805668016194,0.5,0.0,1.0,0.7211955345497703,0.7342517171270483,0.01305618257727803,0.5009153218826503,0.0013973041437992072,0.7152255639097744,0.720394724699659,0.7342950085997662,0.013900283900107113
LSM11:K562,LSM11,K562,0.5,0.0,0.5,0.0,0.6585154512602593,0.25549658832448824,0.5,0.0,1.0,0.75890481508667,0.7864683712303011,0.02756355614363115,0.5097120856435597,0.016359600646711218,0.7517058377558756,0.7607545420499282,0.7861822574604711,0.025427715410542895
MATR3:HepG2,MATR3,HepG2,0.5,0.0,0.5,0.0,0.7888817768219029,0.5529782359679267,0.5,0.0,1.0,0.8833414356362242,0.8929886500513694,0.009647214415145156,0.5006589543744395,0.00095763988726659,0.7043241695303551,0.885362859626689,0.893050016816895,0.007687157190205962
MATR3:K562,MATR3,K562,0.5,0.0,0.5,0.0,0.7732416084268416,0.5150082236842106,0.5,0.0,1.0,0.9248477587079078,0.9329487808523416,0.008101022144433756,0.5006134492660136,0.0006925156253913926,0.7159745065789473,0.9286318466770208,0.9373319839863224,0.008700137309301637
MBNL1:K562,MBNL1,K562,0.5,0.0,0.5,0.0,0.6381246685689755,0.21859296482412055,0.5,0.0,1.0,0.7954239371059654,0.8182109598803622,0.022787022774396815,0.502004016652732,0.002690697627646477,0.7441373534338358,0.807032590051458,0.8362668114730311,0.02923422142157306
METTL1:K562,METTL1,K562,0.5,0.0,0.5,0.0,0.7260882344042427,0.41787941787941785,0.5,0.0,1.0,0.8324609592800861,0.8412913153037894,0.0088303560237033,0.5094436026639416,0.016890423670084725,0.683991683991684,0.8367102434899045,0.8397876363978057,0.003077392907901211
MORC2:K562,MORC2,K562,0.5,0.0,0.5,0.0,0.6876525292730711,0.35601458080194404,0.5,0.0,1.0,0.7996055092872149,0.7986901491003634,-0.0009153601868514549,0.5036756617714253,0.0052054952158858935,0.7181044957472661,0.7919020365061582,0.7918377293480946,-6.430715806360343e-05
MTPAP:K562,MTPAP,K562,0.5,0.0,0.5,0.0,0.5926854143658793,0.16248839368616527,0.5,0.0,1.0,0.7226778535582781,0.7231701250679998,0.0004922715097217534,0.5026260927453969,0.004554930712496269,0.7460538532961931,0.7187260209176434,0.7179096371822498,-0.000816383735393611
NCBP2:HepG2,NCBP2,HepG2,0.5,0.0,0.5,0.0,0.8839372092042674,0.6446955430006278,0.5,0.0,1.0,0.8263734464459033,0.8305407879497914,0.004167341503888089,0.5092480022037341,0.010890207950924543,0.5371939736346516,0.8198195692653252,0.8186779713991332,-0.0011415978661919457
NKRF:HepG2,NKRF,HepG2,0.5,0.0,0.5,0.0,0.7346848841948627,0.4178682499293186,0.5,0.0,1.0,0.8636419117613557,0.8653389040722939,0.0016969923109381169,0.5012068762222666,0.0017227362093159108,0.745405711054566,0.8504351301384053,0.8516849200486236,0.0012497899102182908
NOLC1:K562,NOLC1,K562,0.5,0.0,0.5,0.0,0.7174155534803861,0.40268028079132095,0.5,0.0,1.0,0.6924478179295447,0.7088221531434268,0.016374335213882096,0.5049388196775895,0.008816348048056366,0.6761327377153797,0.6827421085245506,0.6877017378356132,0.00495962931106253
NONO:K562,NONO,K562,0.5,0.0,0.5,0.0,0.7626494669679028,0.4808312432819778,0.5,0.0,1.0,0.885638922505299,0.89248378720515,0.0068448646998510165,0.5004251718117287,0.0007481868097657472,0.7152006449301326,0.885517836244119,0.8909128158705456,0.005394979626426655
PCBP1:HepG2,PCBP1,HepG2,0.5,0.0,0.5,0.0,0.737828793765302,0.418729817007535,0.5,0.0,1.0,0.9217093973519219,0.9215425454874103,-0.00016685186451159684,0.5060925726587728,0.007700587894344586,0.6749192680301399,0.910534073031382,0.9106963649913059,0.00016229195992389922
PCBP2:HepG2,PCBP2,HepG2,0.5,0.0,0.5,0.0,0.61624238092405,0.20677610897659798,0.5,0.0,1.0,0.9293191283324225,0.945232973301228,0.015913844968805546,0.5007349976556914,0.0012620356467308753,0.859354988939341,0.9302033725188111,0.9448841441544106,0.014680771635599443
PHF6:K562,PHF6,K562,0.5,0.0,0.5,0.0,0.7595311351143167,0.43639053254437865,0.5,0.0,1.0,0.7283686670634782,0.7253028605440986,-0.003065806519379599,0.5122824787944151,0.02009793919608241,0.6501479289940828,0.7346605648992917,0.7349156148890896,0.000255049989797973
PPIL4:K562,PPIL4,K562,0.5,0.0,0.5,0.0,0.7271886346208922,0.38905775075987836,0.5,0.0,1.0,0.8409105606932679,0.8414094474367384,0.0004988867434705391,0.5557005928556381,0.10462246832585993,0.6534954407294833,0.8617096512082819,0.8604381714767222,-0.0012714797315597215
PRPF4:HepG2,PRPF4,HepG2,0.5,0.0,0.5,0.0,0.6919960344267234,0.33765647907973384,0.5,0.0,1.0,0.9122460280386996,0.9146828254268252,0.0024367973881256333,0.5023524785556592,0.00414708014098486,0.6851246193752114,0.9091353418805078,0.9121411101703617,0.003005768289853883
PTBP1:HepG2,PTBP1,HepG2,0.5,0.0,0.5,0.0,0.7674404171899553,0.48808240507845246,0.5,0.0,1.0,0.9426631508043355,0.9476271422517618,0.004963991447426319,0.5005857485592562,0.0006585805995905948,0.7180500658761528,0.9431177488491369,0.948113882073084,0.004996133223947097
