dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
LARP4:HepG2,LARP4,HepG2,neg2,5421,0.12869999999999998,0.28719999999999996,0.5148999999999999,0.64,0.96,1.82
LARP4:K562,LARP4,K562,gc,430,0.029700000000000004,0.04949999999999999,0.1089,0.5,0.72,1.2399999999999998
LARP4:K562,LARP4,K562,dn,430,0.01980000000000004,0.05940000000000001,0.10899999999999999,0.21999999999999997,0.3,0.68
LARP4:K562,LARP4,K562,neg2,430,0.1189,0.2674,0.5149,0.65,1.0220000000000005,1.52
LIN28B:K562,LIN28B,K562,gc,6916,0.029700000000000004,0.04949999999999999,0.13859999999999995,0.45999999999999996,0.64,1.24
LIN28B:K562,LIN28B,K562,dn,6916,0.01980000000000004,0.049500000000000044,0.11880000000000002,0.2,0.26,0.6000000000000001
LIN28B:K562,LIN28B,K562,neg2,6916,0.1189,0.27730000000000005,0.5644,0.6200000000000001,0.96,1.6400000000000001
LSM11:K562,LSM11,K562,gc,1319,0.029700000000000004,0.04959999999999998,0.14850000000000008,0.48000000000000004,0.704000000000001,1.42
LSM11:K562,LSM11,K562,dn,1339,0.02969999999999995,0.05950000000000005,0.1486,0.22000000000000003,0.31999999999999995,0.6
LSM11:K562,LSM11,K562,neg2,1319,0.14850000000000008,0.33670000000000005,0.604,0.68,1.04,1.52
MATR3:HepG2,MATR3,HepG2,gc,6984,0.029700000000000004,0.04949999999999999,0.13860000000000006,0.56,0.8200000000000001,1.7000000000000002
MATR3:HepG2,MATR3,HepG2,dn,6991,0.01980000000000004,0.05940000000000001,0.2277,0.21999999999999997,0.3,0.8
MATR3:HepG2,MATR3,HepG2,neg2,6984,0.12879999999999997,0.2971,0.5644,0.72,1.04,1.86
MATR3:K562,MATR3,K562,gc,4864,0.029700000000000004,0.04949999999999999,0.13860000000000006,0.6000000000000001,0.9000000000000001,1.82
