dataset,protein,cell,n,coverage,comp_kmer,full_kmer,gain_kmer,published_neg2_kmer,published_gc_kmer,published_dn_kmer,comp_cnn,full_cnn,gain_cnn,published_neg2_cnn,published_gc_cnn,published_dn_cnn,comp_splicebert,full_splicebert,gain_splicebert,published_neg2_splicebert,published_gc_splicebert,published_dn_splicebert
FKBP4:HepG2,FKBP4,HepG2,2740,1.0,0.8612568597154883,0.8610682508391496,-0.0001886088763386473,9.004209068153024e-05,0.0013495657733497,0.008691228580401,0.8612568597154883,0.8610421439607864,-0.00021471575470188853,0.0020246150567425,0.017604560711812,0.0510153187107482,0.8612568597154883,0.8721391656454792,0.010882305929990954,0.0095162235601258,0.0304741861580265,0.0960629667645411
FMR1:K562,FMR1,K562,8864,1.0,0.7854056056868981,0.7879209519054073,0.00251534621850924,0.0121270457551901,0.0682712248628287,0.1055172771570033,0.7854056056868981,0.789022026792347,0.003616421105448908,0.0123062987918518,0.0635350959220111,0.1067467016566685,0.7854056056868981,0.8325552125825959,0.047149606895697804,0.0614973335538061,0.2164375798264018,0.2854294394303074
FXR1:K562,FXR1,K562,2846,1.0,0.6863267798525281,0.690644462102128,0.004317682249599941,0.0099667692052412,0.0317897565791195,0.0684203139427515,0.6863267798525281,0.6823113304219555,-0.004015449430572637,-7.407667133141338e-06,0.00815534766898,0.0276944290550937,0.6863267798525281,0.7195175732087398,0.03319079335621167,0.0588376185041548,0.1636763560598914,0.255398707294552
FXR2:K562,FXR2,K562,9424,1.0,0.7566371828888998,0.7697594517195558,0.013122268830656036,0.0087711341342842,0.049198340544389,0.09119066045896,0.7566371828888998,0.7561104058993259,-0.0005267769895739294,0.0083271389595901,0.0226105150740371,0.0613787903855314,0.7566371828888998,0.7953239444282705,0.03868676153937067,0.047918375148809,0.1769610372390255,0.2288266168924974
G3BP1:HepG2,G3BP1,HepG2,12956,1.0,0.6892135978605146,0.7021239913256172,0.012910393465102588,0.023619735202749,0.0671332930008148,0.119416705754649,0.6892135978605146,0.7005365298903712,0.01132293202985657,0.0289015825858837,0.0664540281253071,0.1233667895363715,0.6892135978605146,0.752770676269962,0.06355707840944735,0.0943138011657668,0.2193620205123932,0.3246691928594227
GARS:K562,GARS,K562,1114,1.0,0.7746584195275409,0.7876995574522401,0.013041137924699187,0.0068203281880037,0.00147623360591,0.0461143228158673,0.7746584195275409,0.776598796450593,0.0019403769230521561,-0.000190169831329,0.0128284055710091,0.0308531758418757,0.7746584195275409,0.8125763499640611,0.03791793043652025,0.0380468591357263,0.0583176738684089,0.1467461199415648
GEMIN5:K562,GEMIN5,K562,5020,1.0,0.8260495865144998,0.8261957746702433,0.00014618815574352073,0.0007028459865717,0.0138907318931444,0.039915203168044,0.8260495865144998,0.8265927524959921,0.0005431659814922885,0.0003877716226726,0.0155345153251534,0.036219295224977,0.8260495865144998,0.8304528499547625,0.004403263440262761,0.0096009587149411,0.0711637910509358,0.1490543216253442
GRSF1:HepG2,GRSF1,HepG2,1990,1.0,0.8453241079770712,0.8450675487992728,-0.0002565591777984322,0.0002010050251254,-0.0003040327264464,0.0086333144368858,0.8453241079770712,0.8409424004444332,-0.004381707532638002,-0.0008019999494963,-0.0019393449660362,-0.0001525494457043,0.8453241079770712,0.8515885962475694,0.006264488270498192,0.0091472437564706,0.0131158304083229,0.0797991071428571
GRWD1:HepG2,GRWD1,HepG2,44144,1.0,0.7505547862831465,0.7668134685344258,0.016258682251279244,0.0246166730720547,0.0797572655394761,0.1552207397893841,0.7505547862831465,0.7670872007602126,0.016532414477066104,0.0251046227536201,0.0870409176708708,0.1885804023470599,0.7505547862831465,0.7891492196746198,0.03859443339147328,0.0586131111847075,0.2097884804759697,0.3195110150646333
GRWD1:K562,GRWD1,K562,8746,1.0,0.7748123751086969,0.777882793134952,0.003070418026255073,0.0093682890493496,0.0482972739450746,0.1354184097959183,0.7748123751086969,0.7762770412729005,0.0014646661642035985,0.005123063281119,0.0249254711402093,0.1198214269387754,0.7748123751086969,0.781041010600305,0.0062286354916080144,0.024485741846954,0.1307812126352335,0.2759731722448979
GTF2F1:HepG2,GTF2F1,HepG2,8502,1.0,0.8607127518835287,0.8701131165893911,0.009400364705862363,0.0101363504987906,0.0105890647673584,0.0208455074596239,0.8607127518835287,0.8723355169976472,0.011622765114118527,0.0196761651443657,0.0283408760809653,0.0771201497430047,0.8607127518835287,0.8899929229155596,0.029280171032030955,0.0329140040443802,0.0437315010939348,0.1101075527128407
HLTF:HepG2,HLTF,HepG2,7284,1.0,0.7825890874087503,0.7912663021959018,0.008677214787151444,0.0103628091450014,0.0243697228110265,0.065413093833558,0.7825890874087503,0.7835255203418775,0.0009364329331271737,0.0001523654261209,0.0548070726507904,0.1172288174980853,0.7825890874087503,0.8287598826431881,0.04617079523443779,0.0384815055061139,0.1377700094781697,0.204347876810408
HNRNPC:K562,HNRNPC,K562,1032,1.0,0.9530602127276006,0.9601699116639624,0.007109698936361819,0.008912475211826,0.0066514932996816,0.0514279490415238,0.9530602127276006,0.9609924283396432,0.007932215612042604,0.0042515473829697,0.0116128838411152,0.0943528033171082,0.9530602127276006,0.969104921579232,0.01604470885163145,0.0173780121386935,0.0160334414999098,0.138892644672796
HNRNPL:K562,HNRNPL,K562,11672,1.0,0.9206405574625788,0.9280803758289756,0.007439818366396844,0.0206711339087442,0.0199610110674168,0.0482803703790581,0.9206405574625788,0.9260286064469032,0.005388048984324434,0.0089885180071603,0.0269699875180922,0.0545859917432915,0.9206405574625788,0.9296563223893104,0.009015764926731618,0.0440556264654025,0.0432527231651901,0.093430081863389
HNRNPM:HepG2,HNRNPM,HepG2,26790,1.0,0.9198700801625628,0.9346291709912204,0.014759090828657673,0.014066281633336,0.0127465734137508,0.0679745795867126,0.9198700801625628,0.9384123847139789,0.018542304551416144,0.0175360068306701,0.017214108154043,0.1259546498319993,0.9198700801625628,0.9567949298325032,0.036924849669940474,0.0437085367075371,0.0327522832877783,0.1745154064647198
HNRNPUL1:HepG2,HNRNPUL1,HepG2,926,1.0,0.7586311453615029,0.755776254962238,-0.0028548903992648977,0.0037365477284496,0.0047534858118478,0.0020450366593454,0.7586311453615029,0.7624843144297917,0.0038531690682888087,-0.0125717804346709,0.0183188800619493,0.0430924989339214,0.7586311453615029,0.7639070947758305,0.00527594941432763,0.00512200924574,0.0256193759358863,0.0773995937438384
IGF2BP1:K562,IGF2BP1,K562,11412,1.0,0.8197623497639752,0.8485544575912676,0.028792107827292357,0.0228956943754916,0.040803342027854,0.0644477824426209,0.8197623497639752,0.8473179424220499,0.027555592658074723,0.0340308115537244,0.0601466851786124,0.0846149673774256,0.8197623497639752,0.8822301230931363,0.06246777332916109,0.0742282890984076,0.1388729176057473,0.1935024765931631
KHSRP:HepG2,KHSRP,HepG2,10560,1.0,0.9354428518135905,0.9443531910009183,0.008910339187327754,0.0128706812442607,0.0286301939853076,0.0911887709809573,0.9354428518135905,0.9376783818296603,0.0022355300160697977,0.0075372331267218,0.0242693985307622,0.0875161192614972,0.9354428518135905,0.9500066000918274,0.01456374827823681,0.0215098786157024,0.0567131901400368,0.1478676924510147
KHSRP:K562,KHSRP,K562,46396,1.0,0.9751740659420021,0.9815374679527276,0.006363402010725494,0.0077209116188217,0.0200397845047615,0.0696133583965924,0.9751740659420021,0.9824112641863695,0.0072371982443674154,0.0076073478958369,0.0200033781091613,0.0874801501802492,0.9751740659420021,0.9868429345216853,0.01166886857968319,0.0131102994637133,0.0401018547334122,0.1291442629406414
LARP4:HepG2,LARP4,HepG2,10842,1.0,0.6845401376740334,0.6980699889452024,0.013529851271169013,0.0056143072430649,0.0330452593355056,0.0641478377532284,0.6845401376740334,0.6946587126025202,0.010118574928486779,0.0011597890390594,0.0319200431234767,0.0529849300270702,0.6845401376740334,0.7712946581137031,0.08675452043966969,0.0823996032836154,0.1591834701324974,0.2097654678569525
LARP4:K562,LARP4,K562,860,1.0,0.6608707409410493,0.6677447268793942,0.006873985938344984,0.011114115738237,0.0023904813412654,0.0095078420767983,0.6608707409410493,0.6596592752839373,-0.001211465657111943,0.0042671714440239,-0.0027203893996755,0.0017847485127095,0.6608707409410493,0.7188318009734993,0.05796106003245005,0.0446078961600865,0.0571498107084909,0.0794753921038399
LIN28B:K562,LIN28B,K562,13832,1.0,0.7211955345497703,0.7342517171270483,0.01305618257727803,0.0132269502893684,0.0333518248060422,0.0979798982485353,0.7211955345497703,0.7538948126087786,0.0326992780590083,0.0173896014338466,0.0350440726209347,0.0592819025362936,0.7211955345497703,0.7806166562578087,0.05942112170803848,0.0540578489423273,0.1422670659832389,0.2486877772466491
LSM11:K562,LSM11,K562,2638,1.0,0.75890481508667,0.7864683712303011,0.02756355614363115,0.0544948415328312,0.034320806133716,0.0896536991869693,0.75890481508667,0.7910764754469148,0.03217166036024488,0.041664918342232,0.0327734671601442,0.0825396099437734,0.75890481508667,0.7805083571823945,0.02160354209572457,0.0499177760623441,0.058337898136583,0.1302310587025307
MATR3:HepG2,MATR3,HepG2,13968,1.0,0.8833414356362242,0.8929886500513694,0.009647214415145156,0.0060873265877561,0.0097963238506868,0.0518766992263241,0.8833414356362242,0.895999623259317,0.012658187623092787,0.0062681522747461,0.0139144546067661,0.1194993722746419,0.8833414356362242,0.9159711028251124,0.032629667188888156,0.0284767654163533,0.0283175486039763,0.1687231111312354
MATR3:K562,MATR3,K562,9728,1.0,0.9248477587079078,0.9329487808523416,0.008101022144433756,0.0058681667676594,0.0049633332566869,0.0592879491114562,0.9248477587079078,0.9359246674006666,0.011076908692758791,0.0050340055428714,0.0051396758272376,0.0706944227442364,0.9248477587079078,0.9515134436271858,0.02666568491927801,0.0175506507260648,0.0127797641912655,0.1303449019446345
MBNL1:K562,MBNL1,K562,2388,1.0,0.7954239371059654,0.8182109598803622,0.022787022774396815,0.0328162307910293,0.0338192918809568,0.0712996364904857,0.7954239371059654,0.8179759770376169,0.022552039931651557,0.0254651257403712,0.0341559837153382,0.0500836099567829,0.7954239371059654,0.8436859057992362,0.04826196869327082,0.0673425755241871,0.0650804272619378,0.1314288996985056
METTL1:K562,METTL1,K562,962,1.0,0.8324609592800861,0.8412913153037894,0.0088303560237033,0.0128068256966387,0.0115576955493794,0.0759246372551987,0.8324609592800861,0.8386288095227805,0.006167850242694395,-0.0035399224588413,7.34782439563153e-05,0.0542485552880563,0.8324609592800861,0.8634774227289821,0.03101646344889597,0.0752201105631459,0.0605720065179524,0.1645739774637905
MORC2:K562,MORC2,K562,1646,1.0,0.7996055092872149,0.7986901491003634,-0.0009153601868514549,0.0048144993053598,0.0042962873286098,0.0010480160124753,0.7996055092872149,0.7971886631164472,-0.0024168461707676503,-0.0010910502872309,-0.0016786524716939,0.0083853877344337,0.7996055092872149,0.8125120879218224,0.012906578634607535,0.0281296090969088,0.022396796829901,0.0716744701032017
MTPAP:K562,MTPAP,K562,2154,1.0,0.7226778535582781,0.7231701250679998,0.0004922715097217534,-0.0006681443433175,0.0179140274965105,0.0533912416264453,0.7226778535582781,0.7222416199612217,-0.0004362335970563569,-0.0037709204615109,0.0060150233333247,0.0229663676613899,0.7226778535582781,0.7441472710829714,0.021469417524693335,0.0096790406999048,0.1083118018430437,0.1838869662858121
NCBP2:HepG2,NCBP2,HepG2,6372,1.0,0.8263734464459033,0.8305407879497914,0.004167341503888089,0.0011730345686105,0.0201699486414392,0.0641689365966003,0.8263734464459033,0.8272859051823165,0.0009124587364132131,0.0008469453419287,0.0056847893463596,0.0405791213593521,0.8263734464459033,0.8464181807649521,0.02004473431904885,0.0107477432852218,0.0690561421220982,0.1617322675456584
