dataset,protein,cell,pairs,auroc_gc,auroc_dn,cost,composition_auroc_gc,composition_auroc_dn,delta_auroc_gc,delta_auroc_dn,delta_p_gc,delta_p_dn,helps_gc,helps_dn,contrast,total_gain,dominant,dominant_frac,frac_exon_nc,frac_intron,frac_utr5,frac_utr3,frac_cds
EXOSC5:HepG2,EXOSC5,HepG2,713,0.8823846457986226,0.6539073541849171,-0.2284772916137055,0.9246039786060912,0.688518510810192,-0.0004720980232862,0.0026242647044911,0.0306375701720518,0.4708740215476018,False,False,0.0030963627277773,0.0021521666812049,intron,0.8387096774193549,0.07713884992987377,0.8387096774193549,0.0364656381486676,0.04067321178120617,0.0070126227208976155
FASTKD2:HepG2,FASTKD2,HepG2,823,0.7628715144339014,0.5934958270509036,-0.1693756873829978,0.8015262892922052,0.6048772006201024,0.0015708761916291,0.0054882775170421,0.4445729180334541,0.2766690446550588,False,False,0.0039174013254129995,0.0070591537086712,intron,0.4422843256379101,0.11907654921020656,0.4422843256379101,0.1117861482381531,0.1117861482381531,0.21506682867557717
FASTKD2:K562,FASTKD2,K562,508,0.8871055242110484,0.6702182704483872,-0.2168872537626611,0.9251736003472008,0.7303992320366008,-0.0003681257362515,0.0004187034490271,0.6508956153095329,0.8595429797638502,False,False,0.0007868291852785999,5.057771277559999e-05,intron,0.6299212598425197,0.13385826771653545,0.6299212598425197,0.11220472440944881,0.10236220472440945,0.021653543307086614
FKBP4:HepG2,FKBP4,HepG2,1370,0.8139410730459802,0.7055426476125245,-0.1083984254334556,0.8362709787415419,0.7182212328935593,0.0013229261015504,0.0067673675427459,0.2854675858317439,0.0392358732213667,False,True,0.0054444414411955,0.0080902936442963,intron,0.7445255474452555,0.13138686131386862,0.7445255474452555,0.08394160583941605,0.021167883211678833,0.01897810218978102
FMR1:K562,FMR1,K562,4432,0.7066851658922962,0.6617104695433882,-0.044974696348908,0.6427784801053058,0.5572480549042732,0.0682482645903113,0.1025731569830485,1.7186973115744042e-46,6.231800162714713e-54,True,True,0.0343248923927372,0.1708214215733598,cds,0.6367328519855595,0.003384476534296029,0.004061371841155234,0.1069494584837545,0.24887184115523467,0.6367328519855595
FXR1:K562,FXR1,K562,1423,0.6849756213674653,0.6455199753770392,-0.039455645990426,0.653011537688482,0.5759394275161588,0.0317858058233152,0.0666262850107726,4.735474862559045e-08,1.3290524403160452e-12,True,True,0.0348404791874574,0.0984120908340878,cds,0.6823612087139845,0.0,0.0028109627547434997,0.011946591707659873,0.30288123682361207,0.6823612087139845
FXR2:K562,FXR2,K562,4712,0.6969556379550388,0.6584832572915198,-0.0384723806635189,0.6447002253394865,0.5693980353119751,0.0492318496141773,0.0881022783674455,2.432996515232597e-32,4.579469727224837e-47,True,True,0.038870428753268196,0.1373341279816228,cds,0.5267402376910016,0.029499151103565366,0.07576400679117147,0.14473684210526316,0.2232597623089983,0.5267402376910016
G3BP1:HepG2,G3BP1,HepG2,6478,0.75587608797954,0.6901700158252777,-0.0657060721542622,0.6887407694563812,0.5643923299906008,0.06710248123151,0.1243599511466067,3.4111673363078463e-84,7.136366448260162e-108,True,True,0.0572574699150967,0.1914624323781167,cds,0.5856745909231245,0.0009262117937635072,0.0004631058968817536,0.03874652670577339,0.37418956468045694,0.5856745909231245
GARS:K562,GARS,K562,557,0.7086275862291256,0.6503795777197868,-0.0582480085093387,0.7452852386309061,0.6163174718126085,0.00147623360591,0.0414944624105682,0.6945140268306751,0.000175041358294,False,True,0.0400182288046582,0.0429706960164782,intron,0.36804308797127466,0.23877917414721722,0.36804308797127466,0.07001795332136446,0.15439856373429084,0.1687612208258528
GEMIN5:K562,GEMIN5,K562,2510,0.7609206203076141,0.6644827536730946,-0.0964378666345194,0.7553554705480865,0.6292791551882462,0.0138923191695369,0.0386821338383837,2.87965631939472e-08,2.1767690248861916e-12,True,True,0.024789814668846805,0.0525744530079206,utr5,0.4239043824701195,0.08127490039840637,0.22270916334661356,0.4239043824701195,0.055378486055776895,0.21673306772908366
