dataset,gain_gc_k3,gain_dn_k3,contrast_k3,gain_gc_k4,gain_dn_k4,contrast_k4,gain_gc_k5,gain_dn_k5,contrast_k5,gain_gc_k6,gain_dn_k6,contrast_k6
G3BP1:HepG2,0.04198578969778344,0.08381811316953869,0.04183232347175525,0.06713329300081483,0.1242855990923909,0.057152306091576066,0.07323986159343698,0.1386656291016798,0.0654257675082428,0.053628063197440956,0.10977833282131011,0.05615026962386915
GARS:K562,-0.0003094288780945975,0.027865874214935804,0.0281753030930304,0.0014762336059100933,0.041485097828665496,0.0400088642227554,0.029560127510483647,0.12342831100400797,0.09386818349352433,0.050214505123304165,0.1558079136960132,0.10559340857270905
GEMIN5:K562,0.007637815272773518,0.018665633608815457,0.011027818336041939,0.013890731893144492,0.03858571510560138,0.02469498321245689,0.012729163029158386,0.0387775482093663,0.02604838518020791,0.010360629196362048,0.02244476010101004,0.012084130904647994
GRSF1:HepG2,-0.00033231484053430904,0.005247700932224819,0.005580015772759128,-0.00030403272644641266,0.013861331569664848,0.01416536429611126,0.0026484179692430887,0.013724529163517407,0.011076111194274318,0.003623140829776994,0.0190765542328043,0.015453413403027305
GRWD1:HepG2,0.048646062177346794,0.10713952338611277,0.05849346120876597,0.07975726553947615,0.15386828083790016,0.07411101529842401,0.09567841484477113,0.17847787207369714,0.08279945722892601,0.09046860838711523,0.17215164705923958,0.08168303867212434
GRWD1:K562,0.036843342948740476,0.09751107918367341,0.060667736234932934,0.04829727394507466,0.1307994383673471,0.08250216442227243,0.04462543760490256,0.1349607444897959,0.09033530688489333,0.02688325744181319,0.09794168163265315,0.07105842419083996
GTF2F1:HepG2,0.007472856650276305,0.015162221863089242,0.0076893652128129375,0.010589064767358436,0.0214431537437475,0.010854088976389065,0.007954456977784519,0.01809074991759496,0.010136292939810443,0.007383763633237561,0.010195769902810126,0.0028120062695725645
HLTF:HepG2,0.012330140067628781,0.027249986357845923,0.014919846290217142,0.024369722811026562,0.06026987003260942,0.03590014722158286,0.017391220434246568,0.05961218648918698,0.04222096605494041,0.005971427976915855,0.035292497191597993,0.02932106921468214
HNRNPC:K562,0.009997896761012037,0.06939186346974324,0.059393966708731205,0.006651493299681621,0.051375368066822746,0.044723874767141125,0.011687999519259584,0.07106694309236217,0.05937894357310258,0.015165855417342722,0.09360915810347925,0.07844330268613653
HNRNPL:K562,0.014103862908533493,0.04151579212797896,0.027411929219445463,0.01996101106741688,0.047340319478326065,0.027379308410909187,0.01628981162513321,0.041491807796960045,0.025201996171826835,0.009580404485218796,0.022519938074685664,0.012939533589466867
HNRNPM:HepG2,0.008213596661911238,0.04276733454592285,0.034553737884011615,0.01274657341375085,0.06743488784848806,0.054688314434737206,0.014881570273877376,0.07283831549820685,0.057956745224329476,0.011205286412603654,0.06276778643507686,0.0515625000224732
HNRNPUL1:HepG2,-0.012529796752328903,0.0002476053354364405,0.012777402087765344,0.0047534858118478684,0.008459848960745364,0.0037063631488974957,0.0014367749068197044,0.001389341048837811,-4.743385798189337e-05,0.0035919372670489835,0.008216828909298535,0.004624891642249551
IGF2BP1:K562,0.03589831526305487,0.05936701013525347,0.023468694872198603,0.04080334202785407,0.06450355907759209,0.023700217049738015,0.041236255943006506,0.06763196487693712,0.026395708933930617,0.019472249834113664,0.03781078427723006,0.018338534443116394
KHSRP:HepG2,0.023227122073002815,0.07531465202396204,0.05208752995095922,0.02863019398530764,0.09127631805806635,0.06264612407275871,0.025737416781451028,0.08418689946110092,0.05844948267964989,0.015839718204775144,0.054287695853518,0.03844797764874286
KHSRP:K562,0.01438692413981213,0.0507869985296856,0.03640007438987347,0.020039784504761515,0.06967417852894553,0.049634394024184014,0.023088050830047613,0.08062681290596596,0.05753876207591835,0.020214138286222427,0.07351009090958116,0.05329595262335873
LARP4:HepG2,0.01559581588485981,0.040017756642192426,0.024421940757332616,0.03304525933550562,0.06464983881918329,0.031604579483677675,0.03775754246545304,0.07195823606271023,0.03420069359725719,0.024848232605436005,0.03880295884775353,0.013954726242317528
LARP4:K562,0.0038885884261762316,0.0021471065440777926,-0.001741481882098439,0.0023904813412654047,0.013580313683071887,0.011189832341806483,0.0004651162790696439,0.031882098431584516,0.03141698215251487,0.0055273120605732196,0.03511087074094099,0.029583558680367772
LIN28B:K562,0.01928232569232846,0.06462096509012893,0.04533863939780047,0.03335182480604226,0.09490156353646051,0.061549738730418246,0.035231858564861995,0.09288567661980962,0.057653818054947625,0.02368471647374859,0.06908505218868677,0.04540033571493818
LSM11:K562,0.017444924906352077,0.0770095280271691,0.05956460312081702,0.03432080613371602,0.09349770569924731,0.059176899565531293,0.03886338410850676,0.0911579483981726,0.052294564289665835,0.0597587829592684,0.11848430577811297,0.05872552281884458
MATR3:HepG2,0.008646953140478808,0.04546718740348277,0.03682023426300396,0.00979632385068685,0.05236272371034445,0.0425663998596576,0.007246415141006324,0.04991072875620928,0.04266431361520295,0.004872411691459133,0.03904474439120398,0.034172332699744845
