dataset,design,n_pairs_gc,n_sense_gc,full_gc,sense_gc,placebo_gc,placebo_sd_gc,placebo_strat_gc,placebo_strat_sd_gc,strat_deficit_gc,n_pairs_dn,n_sense_dn,full_dn,sense_dn,placebo_dn,placebo_sd_dn,placebo_strat_dn,placebo_strat_sd_dn,strat_deficit_dn,c_full,c_sense,c_placebo,c_placebo_strat,excess,excess_strat,locus_mix,corrected
FASTKD2:K562,region_x_genedensity_q4,508,212,-0.0003681257362515,-0.000378248487006,-0.0012226326094695,0.0013727938147025,-0.0005228729085083,0.0013245052637054,0.0,542,283,0.0003914707043749,0.0005993332417685,-0.0010163692891657,0.0020476663302086,0.0009052429172545,0.0043985188545181,0.0,0.0007595964406265,0.0009775817287746,0.0002062633203037,0.0014281158257629,0.0007713184084708,-0.0004505340969883,0.0012218525054591,0.0003090623436382
FMR1:K562,region_x_genedensity_q4,4432,1827,0.0682712248628287,0.019651706192672,0.0561921628650579,0.0067685622334883,0.0508275490581136,0.007957746512536,0.0,4445,1981,0.1024647959499999,0.0441855374671188,0.0844074232722219,0.0084279341397169,0.0805972870487705,0.0070789710115927,0.0,0.0341935710871711,0.0245338312744467,0.0282152604071639,0.0297697379906569,-0.0036814291327171,-0.0052359067162101,0.001554477583493,0.028957664370961003
FXR2:K562,region_x_genedensity_q4,4712,2009,0.049198340544389,0.0236397634239747,0.0351837834770907,0.0065560999150293,0.0328359490307553,0.0069098047038358,0.0,4745,2173,0.0881747188821686,0.0397352437954913,0.0723744363797083,0.0069012659330764,0.0704944525849499,0.0073184518898503,0.0,0.0389763783377795,0.0160954803715165,0.0371906529026175,0.0376585035541946,-0.021095172531101,-0.0215630231826781,0.000467850651577,0.0174133551551014
GARS:K562,region_x_genedensity_q4,557,248,0.00147623360591,4.877731529684404e-05,0.0007828759105098,0.0031584343264295,0.000440621748179,0.004265429572146,0.0,566,246,0.0414850978286654,0.0300746909908125,0.0320601163328706,0.0205904603287927,0.0316783991010641,0.019055436073505,0.0,0.0400088642227554,0.0300259136755156,0.0312772404223607,0.0312377773528851,-0.001251326746845,-0.0012118636773695,-3.946306947555031e-05,0.0387970005453859
GRWD1:K562,region_x_genedensity_q4,4373,1774,0.0482972739450746,0.036060139634378,0.0370101325802109,0.0055851377716112,0.0360443630849715,0.0042138857657006,0.0,4375,2158,0.1307994383673471,0.0880687503704128,0.1188004244825598,0.0058218031449826,0.1122585551445104,0.0077743933122229,0.0,0.0825021644222724,0.0520086107360348,0.0817902919023488,0.0762141920595389,-0.029781681166314,-0.0242055813235041,-0.0055760998428099,0.0582965830987683
HNRNPL:K562,region_x_genedensity_q4,5836,2620,0.0199610110674168,0.0125520074587727,0.0148950381679389,0.0019071571097287,0.0148885700134024,0.0019338932559149,0.0,5840,2286,0.047340319478326,0.0370414382804074,0.0387151641587233,0.0036507244061263,0.0379539691178147,0.0038734379378347,0.0,0.0273793084109091,0.0244894308216346,0.0238201259907843,0.0230653991044122,0.0006693048308502,0.0014240317172223,-0.0007547268863721,0.0288033401281314
LIN28B:K562,region_x_genedensity_q4,6916,2911,0.0333518248060422,0.0177692239519343,0.0280864194981284,0.0029949237787782,0.0247600785987974,0.0028966722234409,0.0,6916,3080,0.0949015635364605,0.0768510710069151,0.0837899993675156,0.0072133486476148,0.0839396609883623,0.0072047110691695,0.0,0.0615497387304182,0.0590818470549807,0.0557035798693871,0.0591795823895649,0.0033782671855935,-9.773533458414668e-05,0.0034760025201777,0.06145200339583405
MBNL1:K562,region_x_genedensity_q4,1194,516,0.0338192918809568,0.0264369629229013,0.0202782284718466,0.0086516508217508,0.0254903175890872,0.0082375175693622,0.0,1202,554,0.0704926066096162,0.0585046071237734,0.047757529747553,0.0124703968552955,0.0591899738039072,0.0116408223337489,0.0,0.0366733147286593,0.0320676442008721,0.0274793012757064,0.03369965621482,0.0045883429251657,-0.0016320120139478,0.0062203549391136,0.035041302714711495
MORC2:K562,region_x_genedensity_q4,823,381,0.0042962873286098,0.0016602255426734,0.0020580596716748,0.004218636469401,0.0007591570738697,0.0028335025586677,0.0,891,454,0.0046644270362938,-0.0020716489743638,0.001701226493819,0.0042928700736289,0.000141182635021,0.004408628564268,0.0,0.000368139707684,-0.0037318745170372,-0.0003568331778558,-0.0006179744388486,-0.0033750413391814,-0.0031139000781886,-0.0002611412609928,-0.0027457603705046
NONO:K562,region_x_genedensity_q4,11164,4865,0.0276902866754107,0.0254357477166116,0.0236142866649273,0.0017366046747138,0.0247379197214831,0.0018212624706252,0.0,11333,5716,0.0576518090530829,0.0452680063720561,0.0535299762590467,0.0030980104584115,0.0533724684029361,0.0022880069586711,0.0,0.0299615223776722,0.0198322586554445,0.0299156895941193,0.0286345486814529,-0.0100834309386747,-0.0088022900260084,-0.0012811409126663,0.021159232351663802
