dataset,protein,cell,comp_gc,n_gc,k4_pub_gc,k4_cf_gc,k2_pub_gc,k2_cf_gc,comp_dn,n_dn,k4_pub_dn,k4_cf_dn,k2_pub_dn,k2_cf_dn,comp_neg2,n_neg2,k4_pub_neg2,k4_cf_neg2,k2_pub_neg2,k2_cf_neg2
GRWD1:K562,GRWD1,K562,0.7715631160570009,8746,0.04829727394507466,0.05009640420247119,0.0037027413243930773,9.532958753777354e-05,0.5837826612244897,8750,0.13541840979591846,0.13698006204081636,0.006651663673469366,4.482612244904871e-05,0.8515861604029341,8746,0.00936828904934961,0.009980793415136024,0.0015898025893148482,-9.172139141033764e-05
GTF2F1:HepG2,GTF2F1,HepG2,0.8778375918412046,8502,0.010589064767358547,0.012690165862975666,0.004258756889006898,0.0005918875218923203,0.745236600953911,8940,0.02084550745962399,0.022816239508730907,0.0043708241370509215,5.034808241877187e-05,0.891555260275842,8502,0.010136350498790803,0.012490342953331623,0.0054125391282972,0.0006601737225293558
HLTF:HepG2,HLTF,HepG2,0.6510926734621194,7284,0.024369722811026673,0.025992516377210118,0.008903915844225119,0.00035652454236845266,0.5341973991468479,7290,0.0654130938335582,0.06682766290143216,0.020912876499931343,0.00021737126040333177,0.7828204627144235,7284,0.01036280914500165,0.011384509419515743,0.0023096819369846644,2.5783758403452595e-05
HNRNPC:K562,HNRNPC,K562,0.9479748813172285,1032,0.006651493299681621,0.008206387837269347,-0.001228141337660138,5.2580974701177396e-05,0.6683041884502133,1032,0.051427949041524146,0.05497716483384407,0.010944354305630677,-0.005209272279310118,0.9536648939366623,1032,0.008912475211826365,0.012063577909981582,-0.0020131001742682564,0.00011267351721666596
HNRNPL:K562,HNRNPL,K562,0.8732692333891269,11672,0.019961011067416767,0.021054792850596304,0.001897976963199266,-0.0001224056117379302,0.726961408097204,11680,0.04828037037905797,0.04999050009382633,0.00400224596547194,-0.00027939693188216985,0.9005353549921289,11672,0.02067113390874442,0.02297649342480157,0.0037940748284972514,0.00016016373519567306
HNRNPM:HepG2,HNRNPM,HepG2,0.933878872922699,26790,0.01274657341375074,0.013063534122209841,0.00023550095366609014,1.7333048536127826e-05,0.7025364218523228,26846,0.06797457958671271,0.0687373076494161,0.0025941223584734496,-6.425350939365249e-05,0.9224347025466345,26790,0.014066281633336009,0.01459831147683277,0.0003447771860297655,-2.9538635769599253e-06
HNRNPUL1:HepG2,HNRNPUL1,HepG2,0.804449337357547,926,0.0047534858118478684,0.007025269511916399,0.030489483087573377,0.006353530594442436,0.5906120895597669,934,0.0020450366593455227,0.003897491391129382,0.010096795345019727,0.0014993878645874759,0.7895218058581231,926,0.0037365477284495574,0.0061342824755443726,0.018533463327253363,0.00264497198755409
IGF2BP1:K562,IGF2BP1,K562,0.68599305568609,11412,0.040803342027854184,0.04262038262525891,0.004467475034734436,-0.00015043720159035878,0.5682339286813409,11412,0.06444778244262095,0.06571175593323941,0.004301097264008513,-0.00016269209000108198,0.8133613359069212,11412,0.02289569437549166,0.024769832310127082,0.004430126803388501,-0.0001479493671008303
KHSRP:HepG2,KHSRP,HepG2,0.8599891672405877,10560,0.028630193985307528,0.029900352961432453,0.0008436280417813968,7.963154269985395e-06,0.6446005849603273,10578,0.09118877098095735,0.09284912685821711,0.0035359510159624907,0.0007712293350556898,0.9313630265725437,10560,0.012870681244260829,0.013704696108815417,0.0010412003558308847,4.365386822779982e-05
KHSRP:K562,KHSRP,K562,0.8967359254364908,46396,0.020039784504761404,0.020381021992636805,0.0002030949881141053,2.9746507797523414e-05,0.6854298355518864,46384,0.06961335839659244,0.07004330148398408,0.0007018383573882403,2.5894787618829795e-05,0.9732777836749663,46396,0.007720911618821602,0.007897943106288108,-2.0975673414524998e-05,-5.753072722436414e-06
LARP4:HepG2,LARP4,HepG2,0.6499371955332589,10842,0.033045259335505284,0.035246248533504554,0.009025957897850878,0.0037006876555711887,0.5630388788561432,10858,0.06414783775322841,0.06555918138269545,0.012533537562765873,0.0012935111273001398,0.6940868317648465,10842,0.005614307243064998,0.007942664641434005,0.012452206724680281,0.0009225091937007379
LARP4:K562,LARP4,K562,0.7424391563007031,860,0.0023904813412654047,0.0019956733369388413,0.03121146565711186,-0.0021579232017306937,0.601087074094105,860,0.009507842076798223,0.0071660356949700965,0.03978366684694423,-0.0008815575987021207,0.6963872363439697,860,0.01111411573823684,0.00915630070308271,0.03218496484586264,0.00017306652244453158
LIN28B:K562,LIN28B,K562,0.7304572995419546,13832,0.03335182480604226,0.03472630836333601,0.004630631613067426,6.694395373574302e-05,0.5732835168849293,13832,0.09797989824853537,0.0992513734173045,0.005237036790490257,0.0002625699921825486,0.7786827035556148,13832,0.013226950289368267,0.01409740985020258,0.0036528568384521787,-7.248428719641709e-05
LSM11:K562,LSM11,K562,0.7270613607271343,2638,0.03432080613371613,0.03755458364683417,0.028402177080645075,0.0003494732897220132,0.6003504895084613,2678,0.0896536991869693,0.09353953687864669,0.02624265095896594,0.002976706726063316,0.7472411440421989,2638,0.05449484153283124,0.058051651922304326,0.03101115613006611,0.0019640628799012516
MATR3:HepG2,MATR3,HepG2,0.9202442270271831,13968,0.009796323850686517,0.010106700276462321,0.00028085386463450046,-3.1162703427733973e-06,0.6458810959534973,13982,0.05187669922632421,0.05312476361448093,0.0020550565441834756,7.398604589625712e-05,0.9133700626796778,13968,0.0060873265877560145,0.006722164161185096,0.0010614795854768655,-8.590245221040682e-06
MATR3:K562,MATR3,K562,0.9562815404664777,9728,0.004963333256686964,0.005487796012054291,0.0003395820258397242,-1.9950549688396713e-05,0.6846286482400203,9734,0.059287949111456184,0.06112126429893605,0.0036935219809749453,-5.0194850160334425e-05,0.9470023369194731,9728,0.005868166767659111,0.00623175708210677,0.00012114041399724496,7.819601042791113e-06
