dataset,arm,model,n_folds,pooled,fold_averaged,rank_pooled
MTPAP:K562,neg2,cnn,5,-0.0037709204615109515,0.004052094049778465,0.0032674413692562743
MTPAP:K562,neg2,splicebert,5,0.009679040699904884,0.008907106177517133,0.008913476600722947
NCBP2:HepG2,gc,kmer,5,0.020169948641439395,0.02038872208805682,0.020206892284945766
NCBP2:HepG2,gc,cnn,5,0.00568478934635952,0.011703545503126933,0.011598875573414658
NCBP2:HepG2,gc,splicebert,5,0.0690561421220981,0.07212810942246975,0.07182307324614245
NCBP2:HepG2,dn,kmer,5,0.06416893659660017,0.0648610557626517,0.06441761355447007
NCBP2:HepG2,dn,cnn,5,0.040579121359352044,0.0476690897975651,0.04716809985821191
NCBP2:HepG2,dn,splicebert,5,0.16173226754565828,0.17184383912938178,0.17145565190453116
NCBP2:HepG2,neg2,kmer,5,0.0011730345686105093,0.0014947658192099532,0.0014894691897895385
NCBP2:HepG2,neg2,cnn,5,0.0008469453419285289,0.0015417590334152686,0.0014782383221636497
NCBP2:HepG2,neg2,splicebert,5,0.010747743285221767,0.014826259261049723,0.014790313790441378
NKRF:HepG2,gc,kmer,5,0.002371712616949906,0.0026608889114830615,0.0023454144318204584
NKRF:HepG2,gc,cnn,5,0.012800501727806779,0.014076544681939529,0.013772495439582921
NKRF:HepG2,gc,splicebert,5,0.02755666119840272,0.030250642385248307,0.029793445740889046
NKRF:HepG2,dn,kmer,5,0.010354493804411669,0.010929710411966753,0.010728817552831837
NKRF:HepG2,dn,cnn,5,0.025062965670565762,0.03802574119499045,0.037052035486656476
NKRF:HepG2,dn,splicebert,5,0.06039738890669233,0.069394803058456,0.0687607168211114
NKRF:HepG2,neg2,kmer,5,0.0030143795119070838,0.00338265970142857,0.0032913497595474794
NKRF:HepG2,neg2,cnn,5,0.0029229353666546665,0.0034134683498480587,0.0034078930845286015
NKRF:HepG2,neg2,splicebert,5,0.016255395824055885,0.01575445143418839,0.015991694569520765
NOLC1:K562,gc,kmer,5,0.006180439008278915,0.006567496379197091,0.006226051104281094
NOLC1:K562,gc,cnn,5,-0.00010303446686177331,0.003921925243374402,0.00391042273046216
NOLC1:K562,gc,splicebert,5,0.020942468078659626,0.025747191001609316,0.0260131485011742
NOLC1:K562,dn,kmer,5,0.02998012089739943,0.029959612614638042,0.03025802263783517
NOLC1:K562,dn,cnn,5,0.006472067832366424,0.010201990428421692,0.011074485780356191
