dataset,protein,cell,gain_dn_1:1,comp_dn_1:1,rows_dn_1:1,gain_dn_1:2,comp_dn_1:2,rows_dn_1:2,gain_dn_1:4,comp_dn_1:4,rows_dn_1:4,gain_dn_2:1,comp_dn_2:1,rows_dn_2:1,gain_gc_1:1,comp_gc_1:1,rows_gc_1:1,gain_gc_1:2,comp_gc_1:2,rows_gc_1:2,gain_gc_1:4,comp_gc_1:4,rows_gc_1:4,gain_gc_2:1,comp_gc_2:1,rows_gc_2:1,gain_neg2_1:1,comp_neg2_1:1,rows_neg2_1:1,gain_neg2_1:2,comp_neg2_1:2,rows_neg2_1:2,gain_neg2_1:4,comp_neg2_1:4,rows_neg2_1:4,gain_neg2_2:1,comp_neg2_2:1,rows_neg2_2:1
DDX55:K562,DDX55,K562,0.02960070153382155,0.5950572553561662,2202,0.005253075716290856,0.5894096276112626,1651,-0.0017009330360828745,0.5717215754272975,1376.0,0.02058459251919742,0.5955676657584015,1651,0.010660330578512345,0.6753347107438016,2200,-0.0007719008264462923,0.6702264462809917,1650,-0.0014611570247934358,0.652595041322314,1375.0,0.006021487603305675,0.6719355371900827,1650,-0.0013842975206610486,0.7223041322314049,2200,-0.000798347107438091,0.7192148760330579,1650,-0.0006942148760330502,0.7085322314049587,1375.0,-0.001955371900826397,0.7235173553719008,1650
DDX59:HepG2,DDX59,HepG2,0.01893947770055937,0.7267493621043394,6178,0.014184545864734832,0.7230233219329159,4633,0.007430259805393469,0.7063288251643387,3861.0,0.01393399107983051,0.7243903656128967,4633,0.0036660316849574937,0.8695836174719026,6104,0.002446569009897037,0.8669005948840487,4579,2.4906856943562872e-05,0.8651796127928488,3815.0,0.002564799103253579,0.8724355227572547,4579,0.005188141244209299,0.8882951084650677,6104,0.002266327125287848,0.8856227915004793,4579,0.0040739888245509,0.8888273851750952,3815.0,0.004509265720311184,0.8881622709104189,4579
DDX6:HepG2,DDX6,HepG2,0.06236191056124485,0.6224218161769849,986,0.07543668032618611,0.593959152836061,740,0.09283190473074654,0.5562553163645881,617.0,0.0542657939903588,0.6239334488507117,740,0.013161182840483177,0.7645439400249896,980,0.015314486450317855,0.7652475744396119,734,0.014402810304449676,0.7364837738374037,612.0,0.012888926062228356,0.750075276012044,734,0.010403998334027387,0.6960099958350687,980,-0.0014469722315156863,0.6921796587487454,734,0.014436266309802548,0.6742054198728672,612.0,0.008815657410505162,0.6719555035128806,734
DDX6:K562,DDX6,K562,0.051634931744297785,0.5966156683956804,3910,0.0504315365948792,0.5831374817738941,2932,0.03206783782650624,0.5823456039579054,2443.0,0.04038145897850032,0.5990607501956771,2932,0.01105294781181898,0.794392722225931,3878,0.0073429082378136945,0.7877057674095972,2910,0.0032408203286664605,0.7785492500695067,2425.0,0.00859638118112227,0.7864352982229895,2910,0.02944048241877517,0.7391737312422917,3878,0.024719973613332336,0.7387794254101273,2910,0.010494994450068518,0.7285531764071677,2425.0,0.026506172557546948,0.742859054934514,2910
DGCR8:K562,DGCR8,K562,-0.003603164058295194,0.5666973883589203,2506,-0.006243389071968974,0.5466510359188983,1880,-0.005930813969795223,0.5835910747114275,1566.0,-0.003920415564049762,0.5695752840710206,1880,-0.0006035232140425562,0.6942212324965176,2472,0.000398649037229859,0.6784457654322925,1855,-0.0004582063447179374,0.7151763178014475,1545.0,0.0007789994301278247,0.6936715445624273,1855,-0.0011383154763774384,0.6876656088645908,2472,-0.0015031029272603025,0.6739246932362982,1855,-0.0023669630607134895,0.6844005613682302,1545.0,-0.001026031128608107,0.6813826978475567,1855
DHX30:K562,DHX30,K562,0.0016893086059006635,0.6215006126873409,1648,0.0013193775124004103,0.6147211970192059,1237,0.00667768866375873,0.5974567327986493,1031.0,4.113871976307859e-05,0.6076482756999458,1237,0.010985324947589081,0.746954629959258,1590,0.010265671783660446,0.7410167450849928,1192,0.011803570294136478,0.7438091607902928,993.0,0.01426421431174063,0.7250415854759755,1192,0.0036296032593647887,0.7840180372611842,1590,-0.00044040999318795127,0.7785910048635204,1192,0.0010545708658915576,0.7884505431675244,993.0,0.005021941289229059,0.7748744514677692,1192
DROSHA:HepG2,DROSHA,HepG2,0.04426842235908146,0.6119170054609616,4368,0.03174421644229508,0.6168202413627848,3277,0.038748339572515444,0.5997732426303855,2730.0,0.0400014745851891,0.6154604392253066,3277,0.01736864471193056,0.7368063856911872,4304,0.01247909785658019,0.740836310305275,3228,0.019582493959973135,0.7161767149176549,2689.0,0.008364744130125223,0.7286491514766242,3228,0.0179063134837828,0.681957261162781,4304,0.010592290736722854,0.6855553233095175,3228,0.023618408755789133,0.6628012225429725,2689.0,0.014573198960766254,0.6819492717071349,3228
DROSHA:K562,DROSHA,K562,0.024137440384958353,0.6667441579606883,7832,0.01834530761092701,0.6720037322829965,5875,0.022487805132267447,0.6743045277355069,4896.0,0.017592906889498106,0.6703584097074815,5875,0.009727918549977899,0.8074519827127442,7572,0.006060370251987135,0.8150863990101921,5680,0.00761852007423558,0.8189455845495353,4733.0,0.007170027294467252,0.8078356262805613,5680,0.015823233426790706,0.8461746630132032,7572,0.014067835090766923,0.8505747847764592,5680,0.015042079667713648,0.8505871964236605,4733.0,0.013731883876070938,0.8459160939179582,5680
EFTUD2:HepG2,EFTUD2,HepG2,0.03690830577243143,0.6794526820140337,14818,0.03130492531150331,0.6867500208103031,11114,0.02450831062682224,0.6782316585951299,9261.0,0.03577270158171042,0.6776444886211813,11114,0.020365142415054938,0.7878537913927692,14248,0.017402285758074454,0.7929920668745775,10685,0.012810214249166396,0.7801594187318192,8905.0,0.01899220625968412,0.7837149552493394,10685,0.0040935441829204056,0.8193307507563932,14248,0.0038958058485297764,0.822045189471505,10685,0.0010008004512035429,0.8154616339860421,8905.0,0.0038229203671126255,0.8177936283661937,10685
EIF3H:HepG2,EIF3H,HepG2,0.08461272403364295,0.5376200215854321,5664,0.07749173673990961,0.532076699799449,4249,0.07146563951774199,0.5191748742957775,3541.0,0.06228369994697147,0.5409557172988211,4249,0.039536387272709916,0.6428035083895264,5654,0.03398802915310983,0.6401198485607317,4241,0.024064758912744177,0.6379144608386842,3535.0,0.03177808053178843,0.648993415183653,4241,0.0064368689962084336,0.709288833772172,5654,0.003544573467908152,0.7023313782184222,4241,0.0011176528191630952,0.7117080253168099,3535.0,0.005171640010026235,0.7090455293444855,4241
