dataset,protein,cell,supplied_2s_n1,supplied_cf_n1,comp_n1,n_n1,supplied_2s_n2,supplied_cf_n2,comp_n2,n_n2,chrom_2s_n1,chrom_cf_n1,chrom_comp_n1,chrom_2s_n2,chrom_cf_n2,chrom_comp_n2,chrom_blocked,chrom_neighbours,chrom_cross_fold,supplied_neighbours,supplied_cross_fold
LIN28B:HepG2,LIN28B,HepG2,0.05855349130856935,0.05914522893234275,0.7490205181349673,39880,0.01368164243355141,0.014239675543990304,0.7528901647637853,39888,0.05895428749455134,0.060200868310080424,0.7479793504577665,0.012618728448480443,0.014047186615101626,0.7517261152124464,1,19807,0,19807,43
LSM11:HepG2,LSM11,HepG2,0.04607069692188537,0.047093413636100534,0.7420017463448358,39762,0.0068138110509929906,0.00803957808897382,0.6616922090932085,39774,0.04439345193424615,0.04754058417480145,0.7387708376225043,0.006747812372771778,0.008169909169692069,0.6607299462408123,1,20241,0,20241,184
METAP2:K562,METAP2,K562,0.057687812262958826,0.05831060551910883,0.8181633618906475,39897,0.02286623701748869,0.02373753090432751,0.7494663351642938,39897,0.058141005704510196,0.05898388846240066,0.8177350765607303,0.02050729158833664,0.023907150822324974,0.7462251319569535,1,21130,0,21130,63
NCBP2:K562,NCBP2,K562,0.03524430081229801,0.036141978435768385,0.8575926864063819,16050,0.0055961709885918864,0.006386432602504044,0.7433012178418017,16049,0.03371886530604307,0.03464292466105734,0.8573863530051145,0.0051702058932238115,0.005898037973307457,0.743377189304361,1,6672,0,6672,46
NIP7:HepG2,NIP7,HepG2,0.05097781227518827,0.05533872766512571,0.7843359430127255,4312,0.024715295968277706,0.02740808753928292,0.7644903466530819,4312,0.04915651536377741,0.056925532061365636,0.7763479232138124,0.024840717194282158,0.02879933808571522,0.7590040823210713,1,2179,0,2179,0
NIPBL:K562,NIPBL,K562,0.06202325783408502,0.06331285303502487,0.7293093438280295,22416,0.008971263753974612,0.009744908399824337,0.659730845607546,22415,0.0625187710063323,0.06412011775518778,0.7289513095698442,0.008575206354598852,0.010052914122005041,0.6587700951282933,1,10000,0,10000,30
NOL12:HepG2,NOL12,HepG2,0.051516816950109456,0.05226514015397643,0.8409345542729494,19435,0.021052213053434632,0.022523457191173546,0.7484213892561704,19444,0.05154553670173523,0.05366870152602077,0.8389534738541079,0.021291777702795556,0.023494983203283692,0.7473183105853952,1,8582,0,8582,14
NOLC1:HepG2,NOLC1,HepG2,0.044431108398585106,0.047860932231685194,0.7540619993419374,15721,0.010929881386604778,0.013752522951660073,0.7504392316534602,15732,0.04286470565291345,0.04927188264668081,0.7481314079578969,0.010885209925804551,0.01439720453626725,0.7483420487935183,1,8491,0,8491,22
NPM1:K562,NPM1,K562,0.025063799621928173,0.030596644612476354,0.727648865784499,1840,0.004452977315690054,0.007469281663516125,0.6983022211720226,1840,0.019165879017013276,0.02314508506616253,0.722952504725898,-0.0007348771266539877,-0.001976606805292991,0.6984948015122874,1,633,0,633,0
NSUN2:K562,NSUN2,K562,0.007236867370004396,0.009029862506141018,0.7814439569840075,1738,0.03477536578292573,0.0395571275529325,0.7082052701344481,1738,0.008395560681761838,0.009345027086939073,0.7847306733266152,0.03813756271841351,0.03801970705584634,0.7148197536684231,1,821,0,821,0
PABPC4:K562,PABPC4,K562,0.0750552930883358,0.07599664364884706,0.6783613910655019,39904,0.02365533937424158,0.024805684404398898,0.6696856135559344,39904,0.07287704253239058,0.07723309398852363,0.6745640255840158,0.021271694106754335,0.02494316100019356,0.6658449605436367,1,21125,0,21125,272
PABPN1:HepG2,PABPN1,HepG2,0.051230783213093045,0.051993528275589784,0.7865803862390385,39860,0.01756329221376962,0.018297228311646374,0.7400441909509058,39879,0.05049844060293318,0.05161516175031111,0.7862722378984344,0.016748980579332717,0.018454787603695677,0.7386204327411242,1,21806,0,21806,143
PCBP1:K562,PCBP1,K562,0.016497112220200782,0.017050257542428726,0.9083995888642128,23554,0.003893985892155505,0.004236385153790101,0.8714525888163605,23554,0.015808860143629144,0.016657323927776635,0.9080343413553658,0.0032157628190149223,0.00374301009643796,0.8711253880732249,1,12578,0,12578,40
POLR2G:HepG2,POLR2G,HepG2,0.023310893453520665,0.024066179270583188,0.8562353015179893,18837,0.029716620581473507,0.030767687573723168,0.8104492004574032,18839,0.02310022507517351,0.023815999298373414,0.856342112460029,0.0292691467691113,0.03133060541449728,0.8093943916495299,1,7300,0,7300,10
PPIG:HepG2,PPIG,HepG2,0.06395307211570511,0.06482275738674492,0.8300259130990028,39920,0.03846590622277535,0.03930495093626152,0.7633940712994687,39923,0.0641156768859934,0.06516041165658393,0.8295424311001003,0.038582574965175476,0.040374022902419315,0.7619791716781299,1,18676,0,18676,46
PRPF8:HepG2,PRPF8,HepG2,0.12271404409616038,0.12308412510898958,0.7702211429149682,39868,0.11453979060927943,0.11506763208198922,0.7106764971377335,39873,0.12262697035574754,0.12382051226150903,0.7688600620729569,0.11429140586990272,0.11538503187126126,0.709293099004239,1,14711,0,14711,87
PRPF8:K562,PRPF8,K562,0.1218446898999096,0.12273639490163524,0.6549025044143012,39876,0.0746170353354968,0.07555479970554047,0.6484348357573121,39875,0.12093165536002404,0.12271184291526427,0.654204888399097,0.07443538932168359,0.07576692843868549,0.6478581420530747,1,18437,0,18437,69
PUM2:K562,PUM2,K562,0.13624982100509686,0.13691582899049892,0.6887908404694549,39854,0.05524322707978957,0.05564325193187891,0.8184854041787074,39854,0.13683980251005434,0.13802822717733787,0.6877186930771749,0.05552744055170056,0.056415166625307434,0.8179225704911399,1,20945,0,20945,115
