dataset,protein,cell,gain_seed7,gain_seed11,gain_seed23,gain_seed42,gain_seed101
RBFOX2:K562,RBFOX2,K562,0.05367558568545572,0.05267676015401246,0.047843281604869614,0.044773235957455526,0.05356617952364817
RBM15:HepG2,RBM15,HepG2,0.0028222798152934825,0.0011412938881111279,0.001169557062226989,0.0023566103750971568,0.003056011779014156
RPS3:HepG2,RPS3,HepG2,0.013354737423636243,0.015844341156429853,0.0172088095783669,0.01327329768444896,0.014975723776474381
RPS3:K562,RPS3,K562,0.01585628067334499,0.026674395121593975,0.0230665157325316,0.015952143924595097,0.02597555558366904
SAFB2:K562,SAFB2,K562,0.010067603892723986,0.009417774992694805,0.009008501922163736,0.009442815056797338,0.010078875488531147
SLTM:K562,SLTM,K562,0.01193739276607253,0.011361277071331388,0.01196189666775116,0.011241732477518362,0.007728045208680756
SMNDC1:K562,SMNDC1,K562,0.02541156713229964,0.035252700617283805,0.03229877531077774,0.031432054711863056,0.03490027206416335
SND1:K562,SND1,K562,0.02930110395206631,0.03038189823473203,0.03394813829007626,0.032686127021909095,0.024393471263828626
SRSF1:HepG2,SRSF1,HepG2,0.024326346250621245,0.03261414512384886,0.02994267183028343,0.02752453599944138,0.02600795586103566
SRSF1:K562,SRSF1,K562,0.02239067636633041,0.02313742355182402,0.026840302157577378,0.026404476028925483,0.02399425087847773
STAU2:HepG2,STAU2,HepG2,0.005908621594326369,0.008666166406192555,0.004393735083868755,0.01307400657861324,0.003427536518074481
SUB1:HepG2,SUB1,HepG2,0.007602901280752139,0.004360702734706456,0.007936675964982598,0.0062151497254688826,0.00776362124729002
TAF15:HepG2,TAF15,HepG2,0.0007086859809026791,0.001059638129340179,0.0023040771484375,2.8822157118080227e-05,0.0010833740234375
TIA1:HepG2,TIA1,HepG2,0.005062484926111499,0.004780826917139214,0.004197440257225238,0.007780384359483805,0.0059345543196873685
TIA1:K562,TIA1,K562,0.011781835011486996,0.010695411761000195,0.008578593747320729,0.011650719527833586,0.011209462102698686
TRA2A:HepG2,TRA2A,HepG2,0.0019553402646502738,0.002437381852552045,0.0034392722117200236,0.004878308128544395,0.003218336483931883
U2AF1:K562,U2AF1,K562,0.007893059046993556,0.0044768382214201985,0.004202084027115305,0.0031520595640611715,0.006024730525720612
U2AF2:HepG2,U2AF2,HepG2,0.010945071303876563,0.009365127123376005,0.009144175702820001,0.011073656783837205,0.010200500310124316
UCHL5:HepG2,UCHL5,HepG2,0.010573474578195019,0.008505712163534018,0.008447247446990436,0.014303563675610476,0.012370209836095936
XPO5:HepG2,XPO5,HepG2,0.03771037321184001,0.03693777340337201,0.03809859931853843,0.04353520946416478,0.040564716333700845
YBX3:HepG2,YBX3,HepG2,-0.009873775740389168,-0.00647817247648097,-0.010316920570730304,-0.008800721898772457,-0.005387594489352443
YBX3:K562,YBX3,K562,0.02166508100908071,0.020692136202892897,0.023523331063255548,0.02301323103032127,0.02022586368314394
YWHAG:K562,YWHAG,K562,0.005334081076750596,-0.001365165838807858,0.0016167280884474833,-0.0007739144367889805,0.0034898253485019515
ZNF622:K562,ZNF622,K562,0.017546903671362468,0.0182235264255155,0.01884340198890777,0.01862762249238481,0.018382723901672504
ZNF800:HepG2,ZNF800,HepG2,0.007262680137205102,0.01320402928227249,0.009778081357794788,0.014458191648909713,0.012382924737729062
ZNF800:K562,ZNF800,K562,0.010852512320276508,0.01057562363460851,0.012236108994225003,0.01496655320157847,0.01355315077308683
