dataset,model,published,recomputed,abs_diff,note
DDX59:HepG2,cnn,0.7622411147608537,0.7622411147608539,2.220446049250313e-16,
DDX6:HepG2,cnn,0.6163530810659579,0.6163530810659579,0.0,
DDX6:K562,cnn,0.6666395431741027,0.6666395431741028,1.1102230246251565e-16,
DGCR8:K562,cnn,0.5935539223023563,0.5935539223023563,0.0,
DHX30:K562,cnn,0.6141203812800453,0.6141203812800453,0.0,
DROSHA:HepG2,cnn,0.6593767191294665,0.6593767191294664,1.1102230246251565e-16,
DROSHA:K562,cnn,0.7229873174248598,0.7229873174248598,0.0,
EFTUD2:HepG2,cnn,0.7531727607974462,0.7531727607974463,1.1102230246251565e-16,
EIF3H:HepG2,cnn,0.6545247988086118,0.6545247988086118,0.0,
ELAC2:K562,cnn,0.8859713309659046,0.8859713309659047,1.1102230246251565e-16,
ELAVL1:K562,cnn,0.8337449382286892,0.8337449382286892,0.0,
EXOSC5:HepG2,cnn,0.6650723044525465,0.6650723044525466,1.1102230246251565e-16,
FASTKD2:HepG2,cnn,0.6044538002505893,0.6044538002505893,0.0,
FASTKD2:K562,cnn,0.7707547555180349,0.770754755518035,1.1102230246251565e-16,
FKBP4:HepG2,cnn,0.7684099489913127,0.7684099489913125,1.1102230246251565e-16,
FMR1:K562,cnn,0.660798131392181,0.6607981313921811,1.1102230246251565e-16,
FXR1:K562,cnn,0.5837257002154509,0.5837257002154509,0.0,
FXR2:K562,cnn,0.6223663975500804,0.6223663975500805,1.1102230246251565e-16,
G3BP1:HepG2,cnn,0.6878183346072827,0.6878183346072826,1.1102230246251565e-16,
GARS:K562,cnn,0.639950555007554,0.6399505550075542,1.1102230246251565e-16,
GEMIN5:K562,cnn,0.6585322687098255,0.6585322687098256,1.1102230246251565e-16,
GRSF1:HepG2,cnn,0.611669638920383,0.6116696389203831,1.1102230246251565e-16,
GRWD1:HepG2,cnn,0.7571544830296846,0.7571544830296846,0.0,
GRWD1:K562,cnn,0.7027914971428572,0.702791497142857,1.1102230246251565e-16,
GTF2F1:HepG2,cnn,0.8247699803312164,0.8247699803312163,1.1102230246251565e-16,
HLTF:HepG2,cnn,0.6526826496262048,0.652682649626205,2.220446049250313e-16,
HNRNPC:K562,cnn,0.7744689321555196,0.7744689321555194,2.220446049250313e-16,
HNRNPL:K562,cnn,0.7856511833833739,0.7856511833833739,0.0,
HNRNPM:HepG2,cnn,0.8293993289229612,0.8293993289229611,1.1102230246251565e-16,
HNRNPUL1:HepG2,cnn,0.6500602964844628,0.6500602964844627,1.1102230246251565e-16,
IGF2BP1:K562,cnn,0.6534360710692614,0.6534360710692615,1.1102230246251565e-16,
KHSRP:HepG2,cnn,0.729992802836654,0.729992802836654,0.0,
KHSRP:K562,cnn,0.7714208755537855,0.7714208755537855,0.0,
LARP4:HepG2,cnn,0.6134348187952917,0.6134348187952917,0.0,
LARP4:K562,cnn,0.5188209843158463,0.5188209843158463,0.0,
LIN28B:K562,cnn,0.63444354019698,0.63444354019698,0.0,
LSM11:K562,cnn,0.684958790710801,0.684958790710801,0.0,
MATR3:HepG2,cnn,0.7658955674276514,0.7658955674276515,1.1102230246251565e-16,
MATR3:K562,cnn,0.7557216113399665,0.7557216113399665,0.0,
MBNL1:K562,cnn,0.6771257554657933,0.6771257554657932,1.1102230246251565e-16,
METTL1:K562,cnn,0.6675671353426031,0.6675671353426031,0.0,
MORC2:K562,cnn,0.6269075591933805,0.6269075591933804,1.1102230246251565e-16,
MTPAP:K562,cnn,0.5994710496901242,0.5994710496901241,1.1102230246251565e-16,
NCBP2:HepG2,cnn,0.6322196551653894,0.6322196551653894,0.0,
NCBP2:K562,cnn,0.5958103812274018,0.5958103812274017,1.1102230246251565e-16,
NKRF:HepG2,cnn,0.8109692540591785,0.8109692540591784,1.1102230246251565e-16,
NOLC1:K562,cnn,0.5591735973061788,0.5591735973061787,1.1102230246251565e-16,
NONO:K562,cnn,0.7660945478081381,0.7660945478081381,0.0,
PCBP1:HepG2,cnn,0.633459710276143,0.6334597102761431,1.1102230246251565e-16,
PCBP2:HepG2,cnn,0.8769365508386785,0.8769365508386784,1.1102230246251565e-16,
PHF6:K562,cnn,0.5575342891154702,0.5575342891154702,0.0,
PPIL4:K562,cnn,0.5598759789168765,0.5598759789168763,1.1102230246251565e-16,
PRPF4:HepG2,cnn,0.8182226244354689,0.8182226244354689,0.0,
PTBP1:HepG2,cnn,0.9066901023698746,0.9066901023698748,2.220446049250313e-16,
PTBP1:K562,cnn,0.8922972963973286,0.8922972963973287,1.1102230246251565e-16,
PUM1:K562,cnn,0.6957988745590211,0.6957988745590211,0.0,
QKI:HepG2,cnn,0.9102062973884796,0.9102062973884795,1.1102230246251565e-16,
QKI:K562,cnn,0.9392376976873236,0.9392376976873236,0.0,
RBFOX2:K562,cnn,0.7384195615390683,0.7384195615390683,0.0,
RBM15:HepG2,cnn,0.6424408888888888,0.6424408888888888,0.0,
RPS3:HepG2,cnn,0.657419850283154,0.6574198502831541,1.1102230246251565e-16,
RPS3:K562,cnn,0.6218310908036139,0.6218310908036139,0.0,
SAFB2:K562,cnn,0.6527326913945503,0.6527326913945504,1.1102230246251565e-16,
SLTM:K562,cnn,0.720352723665285,0.720352723665285,0.0,
SMNDC1:K562,cnn,0.6716843105711193,0.6716843105711194,1.1102230246251565e-16,
SND1:K562,cnn,0.6583307777045775,0.6583307777045777,2.220446049250313e-16,
SRSF1:HepG2,cnn,0.7092567808332563,0.7092567808332562,1.1102230246251565e-16,
SRSF1:K562,cnn,0.7566613326174829,0.756661332617483,1.1102230246251565e-16,
