dataset,protein,cell,n_neg,frac_in_target_peak,deficit,gain_neg2,gain_gc,comp_neg2
PTBP1:K562,PTBP1,K562,7785,0.0,0.0017524107465858,0.0044646898895286,0.0027122791429428,0.955313303212665
PUM1:K562,PUM1,K562,2651,0.0,-0.0317750886799443,0.0057111748041811,0.0374862634841254,0.7960110139715112
QKI:HepG2,QKI,HepG2,9988,0.0,-0.0743693292984823,0.0407454905037024,0.1151148198021847,0.9206671052920694
QKI:K562,QKI,K562,2189,0.0,-0.054377331234435305,0.0358992103254759,0.0902765415599112,0.9403433547153518
RBFOX2:K562,RBFOX2,K562,3484,0.0002870264064293915,0.017785751099663398,0.0536755856854557,0.0358898345857923,0.7724137635587849
RBM15:HepG2,RBM15,HepG2,1493,0.0,-0.027969326829513502,0.0028222798152934,0.0307916066448069,0.7963413994039611
RPS3:HepG2,RPS3,HepG2,5647,0.0,-0.0612316140851424,0.0133547374236362,0.0745863515087786,0.8157901148965137
RPS3:K562,RPS3,K562,2369,0.0,-0.0365148113177794,0.0158562806733449,0.0523710919911243,0.762878506158323
SAFB2:K562,SAFB2,K562,3744,0.0,0.0028054145892686,0.0100676038927239,0.0072621893034553,0.8975169387829645
SLTM:K562,SLTM,K562,3574,0.0005595970900951316,-0.006341421865121101,0.0119373927660725,0.0182788146311936,0.8632220391692911
SMNDC1:K562,SMNDC1,K562,2448,0.0,0.0010834841834336008,0.0254115671322996,0.024328082948866,0.7360964265880644
SND1:K562,SND1,K562,4130,0.0,-0.0522716906354615,0.0293011039520663,0.0815727945875278,0.7292131630014833
SRSF1:HepG2,SRSF1,HepG2,1787,0.0,-0.014774678403905003,0.0243263462506212,0.0391010246545262,0.8640604953577241
SRSF1:K562,SRSF1,K562,3861,0.0,-0.0459980032629604,0.0223906763663304,0.0683886796292908,0.8746017476916208
STAU2:HepG2,STAU2,HepG2,842,0.0,-0.0006008767723043994,0.0059086215943263,0.0065094983666307,0.7248379325325405
SUB1:HepG2,SUB1,HepG2,3296,0.0,0.0007583110448674997,0.0076029012807521,0.0068445902358846,0.8126828120581582
TAF15:HepG2,TAF15,HepG2,768,0.0,-0.001746283637153,0.0007086859809026,0.0024549696180556,0.9226972791883682
TIA1:HepG2,TIA1,HepG2,1729,0.0,0.0013832017423991002,0.0050624849261114,0.0036792831837123,0.8871337484165099
TIA1:K562,TIA1,K562,5831,0.0,0.0030395380829157,0.0117818350114869,0.0087422969285712,0.7838788601164551
TRA2A:HepG2,TRA2A,HepG2,920,0.0,-0.0032183364839319002,0.0019553402646502,0.0051736767485821,0.9433211247637052
U2AF1:K562,U2AF1,K562,1229,0.0,-0.0124817851210344,0.0078930590469935,0.0203748441680279,0.8458920275601629
U2AF2:HepG2,U2AF2,HepG2,10699,0.0,-0.0418462963481139,0.0109450713038765,0.0527913676519904,0.8716278711224924
UCHL5:HepG2,UCHL5,HepG2,2231,0.0,-0.0394263144666422,0.010573474578195,0.0499997890448372,0.7841769966052292
XPO5:HepG2,XPO5,HepG2,4557,0.0,-0.006734437211072697,0.03771037321184,0.0444448104229127,0.7829026802096036
YBX3:HepG2,YBX3,HepG2,2041,0.0,-0.0024795465615347007,-0.0098737757403891,-0.0073942291788544,0.7527784772765845
YBX3:K562,YBX3,K562,17979,0.0,-0.0781913152839027,0.0216650810090807,0.0998563962929834,0.8190311801835441
YWHAG:K562,YWHAG,K562,790,0.0,-0.008106072744752401,0.0053340810767505,0.0134401538215029,0.7288799871815413
ZNF622:K562,ZNF622,K562,14967,0.0,-0.048660939280554996,0.0175469036713624,0.0662078429519174,0.8517638338877054
ZNF800:HepG2,ZNF800,HepG2,2936,0.0,-0.044278509195257096,0.0072626801372051,0.0515411893324622,0.8045220146040136
ZNF800:K562,ZNF800,K562,2430,0.0,-0.0292345340310588,0.0108525123202765,0.0400870463513353,0.8453547054141475
