dataset,protein,cell,coverage_gc,cnn_raw_gc,cnn_nrows_gc,splicebert_raw_gc,splicebert_nrows_gc,comp_gc,kmer_full_gc,kmer_gain_gc,kmer_se_gc,cnn_full_gc,cnn_gain_gc,cnn_se_gc,splicebert_full_gc,splicebert_gain_gc,splicebert_se_gc,n_gc,coverage_dn,cnn_raw_dn,cnn_nrows_dn,splicebert_raw_dn,splicebert_nrows_dn,comp_dn,kmer_full_dn,kmer_gain_dn,kmer_se_dn,cnn_full_dn,cnn_gain_dn,cnn_se_dn,splicebert_full_dn,splicebert_gain_dn,splicebert_se_dn,n_dn,coverage_neg2,cnn_raw_neg2,cnn_nrows_neg2,splicebert_raw_neg2,splicebert_nrows_neg2,comp_neg2,kmer_full_neg2,kmer_gain_neg2,kmer_se_neg2,cnn_full_neg2,cnn_gain_neg2,cnn_se_neg2,splicebert_full_neg2,splicebert_gain_neg2,splicebert_se_neg2,n_neg2
EXOSC5:HepG2,EXOSC5,HepG2,1.0,0.9085034689369337,1426,0.9124651581823437,1426,0.9246039786060912,0.9241318805828049,-0.0004720980232862937,0.0002183871196922135,0.9246039786060912,0.0,0.0004867621866967461,0.9272142872598447,0.002610308653753446,0.0015438525098244098,1426,1.0,0.6650723044525466,1454,0.73401270318185,1454,0.690577054428423,0.6910803380703803,0.0005032836419572861,0.0028699030089616696,0.6842273555471885,-0.006349698881234489,0.004717859699593943,0.7322171536471981,0.041640099218775095,0.010435737369677841,1454,1.0,0.8407751062712321,1426,0.8830554184067084,1426,0.8526149312802314,0.8514209166963367,-0.0011940145838946759,0.0004924228740723845,0.8558881442416827,0.0032732129614513328,0.002624081836870156,0.8774610568307666,0.024846125550535225,0.004658644733973143,1426
FASTKD2:HepG2,FASTKD2,HepG2,1.0,0.7989499932824372,1646,0.8622752015637896,1646,0.8015262892922052,0.8030927363216398,0.0015664470294346478,0.0020548523321059584,0.8046281792157135,0.0031018899235083497,0.0024532315733793034,0.8558750621928192,0.05434877290061402,0.006963038000294401,1646,1.0,0.6044538002505893,1736,0.7552268045615749,1736,0.6071388753212004,0.6161616831956508,0.009022807874450423,0.005392272265123416,0.6214734332859054,0.014334557964705064,0.007872574785277708,0.7457912145086962,0.13865233918749587,0.013422646712295299,1736,1.0,0.7217836531434502,1646,0.7284170617233279,1646,0.7528143634777192,0.752752355206997,-6.20082707222247e-05,0.0013044567765476403,0.7505023408122199,-0.002312022665499347,0.0008161789233027298,0.7490805797478036,-0.0037337837299156185,0.001077785836002921,1646
FASTKD2:K562,FASTKD2,K562,1.0,0.9175630851261702,1016,0.9370659991319983,1016,0.9251736003472008,0.9248054746109492,-0.00036812573625155665,0.0008135045686730087,0.9244024738049477,-0.0007711265422530866,0.001711253566140788,0.9306567363134726,0.005483135966271813,0.002690288276265477,1016,1.0,0.770754755518035,1084,0.8016571125120845,1084,0.7302868969649107,0.731563431870481,0.0012765349055703368,0.0031315741635370097,0.7887215588023038,0.0584346618373931,0.010697178450260207,0.7909001783744776,0.0606132814095669,0.01108549614624387,1084,1.0,0.8929296608593218,1016,0.9161138322276645,1016,0.9131145762291525,0.9143468286936574,0.0012322524645048683,0.0015826370109502988,0.9119520739041479,-0.0011625023250045885,0.0015627182063918596,0.9144553289106578,0.0013407526815053528,0.002471000793346651,1016
FKBP4:HepG2,FKBP4,HepG2,1.0,0.8523000692631466,2740,0.8745159571634078,2740,0.8362709787415419,0.8376205445148917,0.0013495657733497701,0.0012401483433866643,0.8538755394533539,0.017604560711812045,0.0034693551804754847,0.8667451648995684,0.03047418615802655,0.004288096961081812,2740,1.0,0.7684099489913125,2906,0.8201509182653162,2906,0.7158623329097213,0.7245535614901224,0.008691228580401056,0.003490097382138337,0.7668776516204696,0.05101531871074827,0.006685395305701088,0.8119252996742625,0.09606296676454118,0.008161654043303868,2906,1.0,0.8924020992061378,2740,0.8992516916191593,2740,0.8978379242367733,0.8979279663274549,9.004209068153024e-05,0.0007246363847535859,0.8998625392935159,0.0020246150567425625,0.0013810634876857237,0.9073541477968992,0.009516223560125825,0.0027827761851022016,2740
FMR1:K562,FMR1,K562,1.0,0.7007731248126523,8864,0.8691693380680707,8864,0.6427784801053058,0.7110497049681346,0.06827122486282877,0.004767777513680564,0.7063135760273169,0.06353509592201112,0.0049073924790271365,0.8592160599317077,0.21643757982640188,0.00583387848176118,8864,1.0,0.6607981313921811,8890,0.8515774476446913,8890,0.5555778980945717,0.661095175251575,0.10551727715700332,0.006622000601446726,0.6623245997512403,0.10674670165666855,0.0067146649077749095,0.8410073375248791,0.2854294394303074,0.006790678212892823,8890,1.0,0.8297189571006399,8864,0.8921767529633515,8864,0.8262329411793455,0.8383599869345357,0.012127045755190191,0.0016074678404846452,0.8385392399711974,0.012306298791851855,0.0016842154158341022,0.8877302747331517,0.061497333553806155,0.0030815245495060335,8864
FXR1:K562,FXR1,K562,1.0,0.593940330747399,2846,0.8344697517789511,2846,0.653011537688482,0.6848012942676015,0.03178975657911953,0.005821291795168444,0.661166885357462,0.008155347668980073,0.0036449180661906493,0.8166878937483734,0.1636763560598914,0.009825904642864607,2846,1.0,0.5837257002154509,2850,0.8354580486303478,2850,0.5694601415820253,0.6378804555247768,0.0684203139427515,0.009668174010337687,0.5971545706371191,0.027694429055093783,0.008070292548478875,0.8248588488765773,0.25539870729455205,0.011701566565481611,2850,1.0,0.6746769886746646,2846,0.8480191157319589,2846,0.7799014187657939,0.7898681879710351,0.0099667692052412,0.002951745740660499,0.7798940110986607,-7.407667133141338e-06,0.00207282557551423,0.8387390372699487,0.05883761850415481,0.0061696112373823015,2846
FXR2:K562,FXR2,K562,1.0,0.6552699497868391,9424,0.8281509650251786,9424,0.6447002253394865,0.6938985658838756,0.049198340544389096,0.004158250509711932,0.6673107404135236,0.022610515074037107,0.003864566280351121,0.821661262578512,0.17696103723902556,0.005654353799097986,9424,1.0,0.6223663975500805,9490,0.8035856500270374,9490,0.5674133606336214,0.6586040210925814,0.09119066045896007,0.00617767749480711,0.6287921510191528,0.0613787903855314,0.0058138300973351814,0.7962399775261187,0.2288266168924974,0.006647407026805063,9490,1.0,0.8189268954603499,9424,0.8651581520000231,9424,0.8141332068395976,0.8229043409738818,0.008771134134284209,0.0013956616636036478,0.8224603457991877,0.008327138959590141,0.0013013318243203947,0.8620515819884066,0.047918375148809034,0.0026266991324852404,9424
G3BP1:HepG2,G3BP1,HepG2,1.0,0.7531596718787248,12956,0.9150271215058905,12956,0.6887407694563812,0.755874062457196,0.06713329300081483,0.0034500088366220777,0.7551947975816883,0.0664540281253071,0.0035995209230454614,0.9081027899687745,0.21936202051239329,0.004457464240033953,12956,1.0,0.6878183346072826,12964,0.8963421692959146,12964,0.5661713766297118,0.6855880823843609,0.11941670575464902,0.00557641431394196,0.6895381661660834,0.12336678953637159,0.005642528191104385,0.8908405694891346,0.32466919285942275,0.0054501109243454875,12964,1.0,0.8084585884578015,12956,0.881429270046547,12956,0.783312455361062,0.806932190563811,0.02361973520274907,0.0019154051786698138,0.8122140379469457,0.02890158258588371,0.0021621687905652746,0.8776262565268288,0.09431380116576682,0.0031978105252067363,12956
GARS:K562,GARS,K562,1.0,0.6863809391811094,1114,0.8200316519956552,1114,0.7452852386309061,0.7467614722368162,0.0014762336059100933,0.00375883875046115,0.7581136442019153,0.012828405571009172,0.005914375907819839,0.803602912499315,0.058317673868408915,0.009694587045079679,1114,1.0,0.6399505550075542,1132,0.7794484885564809,1132,0.6225698909962667,0.668684213812134,0.04611432281586736,0.011328054124979656,0.6534230668381424,0.030853175841875746,0.011813666972460411,0.7693160109378315,0.14674611994156483,0.01634049229486794,1132,1.0,0.667521893704734,1114,0.8326698877353351,1114,0.7986101486225581,0.8054304768105618,0.00682032818800371,0.0038328862874740383,0.7984199787912291,-0.00019016983132902343,0.0009029750527518355,0.8366570077582844,0.03804685913572636,0.007862887389542987,1114
GEMIN5:K562,GEMIN5,K562,1.0,0.7633066141807272,5020,0.8302345994508025,5020,0.7553554705480865,0.769246202441231,0.013890731893144492,0.0025089744463170755,0.77088998587324,0.015534515325153486,0.002868108543052689,0.8265192615990223,0.07116379105093584,0.0051710120342811595,5020,1.0,0.6585322687098256,5280,0.782754677456382,5280,0.6291032483930211,0.6690184515610652,0.03991520316804409,0.0056137470073948665,0.6653225436179981,0.03621929522497702,0.005921538027866768,0.7781575700183654,0.14905432162534427,0.007850852246329117,5280,1.0,0.8836347042110443,5020,0.9045473087728766,5020,0.895439120013968,0.8961419660005397,0.0007028459865717762,0.0005015440860621746,0.8958268916366406,0.0003877716226726724,0.0003671277203276275,0.9050400787289091,0.009600958714941155,0.001426236200562555,5020
