dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
HNRNPC:K562,HNRNPC,K562,gc,cnn,1032,1.0,5,5,0.0,0.0
HNRNPC:K562,HNRNPC,K562,gc,splicebert,1032,1.0,5,5,0.0,0.0
HNRNPC:K562,HNRNPC,K562,dn,cnn,1032,1.0,5,5,0.0,0.0
HNRNPC:K562,HNRNPC,K562,dn,splicebert,1032,1.0,5,5,0.0,0.0
HNRNPL:K562,HNRNPL,K562,gc,cnn,11672,1.0,5,5,0.0,0.0
HNRNPL:K562,HNRNPL,K562,gc,splicebert,11672,1.0,5,5,0.0,0.0
HNRNPL:K562,HNRNPL,K562,dn,cnn,11680,1.0,5,5,0.0,0.0
HNRNPL:K562,HNRNPL,K562,dn,splicebert,11680,1.0,5,5,0.0,0.0
HNRNPM:HepG2,HNRNPM,HepG2,gc,cnn,26790,1.0,5,5,0.0,0.0
HNRNPM:HepG2,HNRNPM,HepG2,gc,splicebert,26790,1.0,5,5,0.0,0.0
HNRNPM:HepG2,HNRNPM,HepG2,dn,cnn,26846,0.9565670863443344,23,5,0.05639573865752812,0.0
HNRNPM:HepG2,HNRNPM,HepG2,dn,splicebert,26846,0.9565670863443344,23,5,0.05639573865752812,0.0
HNRNPUL1:HepG2,HNRNPUL1,HepG2,gc,cnn,926,1.0,5,5,0.0,0.0
HNRNPUL1:HepG2,HNRNPUL1,HepG2,gc,splicebert,926,1.0,5,5,0.0,0.0
HNRNPUL1:HepG2,HNRNPUL1,HepG2,dn,cnn,934,1.0,5,5,0.0,0.0
HNRNPUL1:HepG2,HNRNPUL1,HepG2,dn,splicebert,934,1.0,5,5,0.0,0.0
IGF2BP1:K562,IGF2BP1,K562,gc,cnn,11412,1.0,5,5,0.0,0.0
IGF2BP1:K562,IGF2BP1,K562,gc,splicebert,11412,1.0,5,5,0.0,0.0
IGF2BP1:K562,IGF2BP1,K562,dn,cnn,11412,1.0,5,5,0.0,0.0
IGF2BP1:K562,IGF2BP1,K562,dn,splicebert,11412,1.0,5,5,0.0,0.0
KHSRP:HepG2,KHSRP,HepG2,gc,cnn,10560,1.0,5,5,0.0,0.0
KHSRP:HepG2,KHSRP,HepG2,gc,splicebert,10560,1.0,5,5,0.0,0.0
KHSRP:HepG2,KHSRP,HepG2,dn,cnn,10578,1.0,5,5,0.0,0.0
KHSRP:HepG2,KHSRP,HepG2,dn,splicebert,10578,1.0,5,5,0.0,0.0
KHSRP:K562,KHSRP,K562,gc,cnn,46396,1.0,5,5,0.0,0.0
KHSRP:K562,KHSRP,K562,gc,splicebert,46396,1.0,5,5,0.0,0.0
KHSRP:K562,KHSRP,K562,dn,cnn,46380,0.89374730487279,23,5,0.09683053040103493,0.0
KHSRP:K562,KHSRP,K562,dn,splicebert,46380,0.89374730487279,23,5,0.09683053040103493,0.0
LARP4:HepG2,LARP4,HepG2,gc,cnn,10842,1.0,5,5,0.0,0.0
LARP4:HepG2,LARP4,HepG2,gc,splicebert,10842,1.0,5,5,0.0,0.0
LARP4:HepG2,LARP4,HepG2,dn,cnn,10858,1.0,5,5,0.0,0.0
LARP4:HepG2,LARP4,HepG2,dn,splicebert,10858,1.0,5,5,0.0,0.0
LARP4:K562,LARP4,K562,gc,cnn,860,1.0,5,5,0.0,0.0
LARP4:K562,LARP4,K562,gc,splicebert,860,1.0,5,5,0.0,0.0
LARP4:K562,LARP4,K562,dn,cnn,860,1.0,5,5,0.0,0.0
LARP4:K562,LARP4,K562,dn,splicebert,860,1.0,5,5,0.0,0.0
LIN28B:K562,LIN28B,K562,gc,cnn,13832,1.0,5,5,0.0,0.0
